"","datasetid","siteid","sitename","chroncontrolid","type","age","depth","limityounger","limitolder","error","cc"
"1",1961,1896,"Poland Spring Pond",5450,"Core top",-30,335,-30,0,15,0
"2",1961,1896,"Poland Spring Pond",5452,"Radiocarbon",2040,507.5,1960,2120,80,1
"3",1961,1896,"Poland Spring Pond",5453,"Radiocarbon",3545,617.5,3470,3620,75,1
"4",1961,1896,"Poland Spring Pond",5454,"Radiocarbon",4850,717.5,4760,4940,90,1
"5",1961,1896,"Poland Spring Pond",5455,"Radiocarbon",5310,812.5,5215,5405,95,1
"6",1961,1896,"Poland Spring Pond",5456,"Radiocarbon",5430,907.5,5335,5525,95,1
"7",1961,1896,"Poland Spring Pond",5457,"Radiocarbon",6460,977.5,6350,6570,110,1
"8",1961,1896,"Poland Spring Pond",5458,"Radiocarbon",8055,1072.5,7955,8155,100,1
"9",1961,1896,"Poland Spring Pond",5459,"Radiocarbon",9400,1157.5,9280,9520,120,1
"10",1961,1896,"Poland Spring Pond",5460,"Radiocarbon",10915,1247.5,10815,11015,100,1
"11",1961,1896,"Poland Spring Pond",5461,"Radiocarbon",12860,1305,12535,13185,325,1
