depth	min	max	median	mean
0.5	-185	90	-44	-45
1.5	-167	101	-30	-31
2.5	-153	114	-16	-17
3.5	-139	127	-1	-3
4.5	-130	144	13	11
5.5	-121	159	27	25
6.5	-112	177	40	39
7.5	-105	198	54	53
8.5	-98	220	68	67
9.5	-92	244	82	81
10.5	-87	267	95	95
11.5	-82	293	109	109
12.5	-76	320	123	123
13.5	-72	347	136	137
14.5	-67	375	149	151
15.5	-48	393	168	170
16.5	-22	403	193	193
17.5	0	413	220	217
18.5	17	426	246	240
19.5	32	442	269	263
21	51	476	303	298
23	74	547	352	345
25	96	646	398	392
27	116	752	440	439
29	134	862	479	486
31	248	944	569	578
35	651	1073	851	854
39	958	1289	1129	1130
41	1043	1483	1267	1268
45	1171	1912	1544	1545
49	1550	2213	1933	1922
51	1659	2393	2129	2110
55	1804	2836	2518	2487
57	1871	3097	2709	2676
61	1982	3537	3016	2978
65	2045	3647	3093	3058
69	2103	3802	3165	3139
73	2165	3981	3237	3219
