depth	min	max	median	mean
0	-43	-37	-40	-40
10	-39	7	-17	-17
20	-38	54	5	5
30	2	61	29	29
40	23	82	54	53
50	38	94	67	67
60	43	121	79	80
80	69	142	104	104
100	96	186	132	134
120	156	1586	813	817
140	1155	2001	1576	1584
170	1616	2993	2265	2275
183	1845	3261	2589	2575
200	2308	3508	2984	2968
218	2566	3793	3226	3218
240	2867	4092	3509	3503
260	3185	4281	3772	3764
280	3394	4444	3958	3948
300	3541	4568	4084	4078
320	3689	4675	4212	4209
340	3789	4759	4312	4309
360	3905	4839	4404	4399
380	4014	4922	4495	4490
401	4150	5011	4595	4587
420	4271	5118	4722	4711
440	4417	5226	4852	4845
460	4578	5331	4977	4976
480	4838	5451	5133	5124
501	4984	5977	5397	5419
513	5141	6110	5575	5588
530	5338	6510	5861	5877
540	5389	7081	6012	6068
