depth	min	max	median	mean
0	2393	4394	3635	3570
10	2754	4468	3818	3764
20	2997	4607	4012	3958
30	3467	4678	4178	4152
40	3759	4806	4362	4345
50	4037	4905	4528	4521
60	4190	5197	4701	4697
70	4315	5369	4851	4849
80	4416	5664	4993	5000
90	4567	5781	5150	5158
100	4660	5992	5303	5316
110	4848	6106	5473	5475
120	4945	6297	5640	5634
130	5131	6383	5796	5784
140	5243	6550	5949	5935
150	5470	6638	6109	6096
160	5603	6789	6279	6258
170	5912	6848	6431	6415
177	6027	6933	6545	6525
200	6599	7252	6894	6902
210	6724	7644	7078	7108
220	6779	8250	7242	7314
230	6914	8497	7443	7510
240	6982	8897	7630	7706
250	7116	9140	7839	7913
260	7198	9512	8041	8120
