depth	min	max	median	mean
0.25	-61	-45	-54	-54
0.75	-59	-16	-39	-39
1.75	-56	45	-11	-9
2.75	-53	105	18	21
3.75	-50	165	46	50
4.75	-47	226	75	80
5.75	-7	251	135	126
6.75	24	281	205	177
7.8595	47	375	257	235
9.0055	65	489	304	294
10.1515	106	595	360	359
11.2975	299	617	464	463
12.4435	448	650	569	568
13.5895	534	802	673	672
14.7355	581	1010	772	777
15.8815	719	1093	892	895
17.0275	857	1147	1020	1017
18.1735	963	1233	1154	1139
19.3195	1045	1391	1276	1261
20.4655	1161	1578	1432	1418
21.6115	1335	1779	1646	1626
22.7575	1494	1992	1858	1834
23.9035	1664	2221	2068	2043
25.0065	1813	2456	2271	2244
26.1538	2286	2843	2689	2663
27.3413	2767	3274	3118	3096
28.5288	3246	3716	3542	3529
29.7163	3696	4174	3965	3963
30.6688	3962	4382	4195	4195
31.5429	4171	4520	4366	4362
32.4171	4361	4672	4534	4530
33.2913	4524	4848	4700	4698
34.1654	4665	5044	4865	4866
35.0396	4789	5243	5028	5028
35.9138	4883	5263	5071	5079
36.7879	4968	5291	5121	5130
37.6621	5029	5330	5177	5180
38.5363	5070	5381	5233	5231
39.4104	5091	5453	5285	5282
40.2846	5131	5514	5332	5330
41.75	5253	5535	5405	5402
42.75	5303	5554	5454	5451
43.75	5339	5578	5505	5500
44.75	5374	5650	5555	5549
45.75	5437	5695	5600	5596
46.75	5511	5743	5646	5642
47.75	5565	5804	5688	5689
48.75	5592	5874	5727	5735
49.75	5611	5948	5768	5781
50.75	5635	5983	5794	5811
