depth	min	max	median	mean
0	-70	43	-7	-9
15	-13	186	65	71
25	41	278	133	139
35	96	573	258	279
45	161	1010	434	472
55	245	1304	634	670
65	352	1563	832	867
75	477	1799	1033	1061
85	613	2001	1240	1259
95	771	2194	1449	1459
105	926	2382	1656	1657
115	1111	2561	1859	1853
125	1317	2731	2064	2052
135	1536	2892	2263	2248
140	1626	2990	2363	2346
150	1895	3138	2558	2545
160	2214	3273	2745	2745
165	2397	3372	2858	2865
170	2459	3608	2967	2985
180	2605	4021	3211	3240
190	2781	4358	3469	3498
200	2966	4646	3731	3748
210	3149	4911	4001	4004
220	3383	5128	4261	4255
230	3634	5330	4520	4509
240	3918	5512	4785	4765
250	4236	5692	5044	5024
260	4598	5850	5301	5276
270	4798	6124	5495	5486
280	4978	6387	5688	5686
290	5146	6610	5889	5883
300	5340	6801	6086	6082
310	5532	6986	6282	6279
320	5749	7169	6487	6480
330	5961	7327	6694	6680
340	6204	7482	6894	6879
350	6497	7617	7081	7077
360	6644	8000	7272	7284
370	6789	8284	7467	7487
380	6940	8562	7669	7691
390	7096	8813	7870	7891
400	7241	9048	8073	8092
410	7415	9259	8285	8298
420	7599	9471	8495	8505
430	7778	9681	8710	8710
440	7951	9864	8916	8915
450	8155	10053	9125	9118
460	8380	10236	9329	9323
470	8590	10418	9546	9532
480	8843	10601	9748	9737
490	9107	10768	9949	9941
500	9373	10943	10153	10147
510	9677	11089	10343	10349
520	9851	11404	10561	10583
525	9953	11519	10683	10700
530	10015	11704	10799	10817
535	10134	11800	10917	10933
540	10205	11965	11034	11049
545	10342	12049	11158	11166
565	10743	12504	11637	11634
595	11474	13114	12326	12313
620	12295	13605	12875	12889
622	12514	13656	12945	12974
624	12659	13720	13026	13060
630	12786	14082	13269	13316
635	13082	14333	13610	13639
638	13164	14656	13801	13833
641	13277	14965	13984	14021
647	13470	15591	14308	14372
652	13596	16261	14552	14651
655	13676	16500	14709	14808
660	13761	17134	14937	15068
665	13934	17450	15197	15321
