depth	min	max	median	mean
905	-38	-32	-35	-35
912	-26	364	78	104
920	-15	819	208	262
928	41	1131	356	425
936	111	1243	562	595
944	162	1514	746	765
952	321	1615	908	926
960	417	1721	1093	1086
968	575	1849	1264	1250
976	787	1912	1445	1421
984	919	2043	1633	1591
992	1345	2122	1774	1764
1000	1660	2265	1932	1938
1008	1804	2444	2086	2098
1016	1884	2652	2225	2238
1024	1930	2957	2352	2377
1032	2059	3063	2504	2520
1040	2153	3211	2657	2664
1056	2401	3456	2950	2942
1064	2480	3594	3099	3079
1072	2752	3673	3227	3221
1080	2964	3774	3363	3365
1088	3189	3926	3517	3532
1096	3371	4201	3720	3738
1105	3438	4783	3922	3971
1112	3590	4905	4118	4150
1120	3672	5161	4329	4355
1128	3808	5447	4521	4557
1136	3984	5554	4749	4754
1144	4096	5765	4960	4950
1152	4392	5855	5181	5168
1160	4570	5969	5433	5388
1168	4890	6115	5655	5610
1176	5441	6181	5846	5835
1184	5734	6359	6059	6060
1192	5885	6677	6270	6272
1196	5933	6900	6364	6377
1200	5969	7146	6453	6482
1204	6002	7389	6542	6587
1208	6094	7492	6649	6693
1212	6176	7559	6766	6799
1216	6239	7656	6890	6906
1220	6291	7764	7008	7012
1224	6330	7925	7117	7118
1229	6497	8011	7246	7248
1234	6634	8072	7392	7377
1237	6701	8107	7480	7455
1240	6744	8159	7565	7532
1252	7243	8347	7863	7845
1256	7459	8399	7961	7950
1260	7635	8463	8059	8055
1264	7756	8560	8166	8161
1268	7956	8657	8270	8272
1272	8077	8753	8379	8385
1276	8131	8974	8479	8498
1280	8176	9225	8578	8611
1284	8218	9529	8670	8724
1288	8306	9653	8776	8831
1292	8372	9737	8897	8936
1296	8424	9832	9010	9042
1304	8504	10173	9221	9253
1312	8727	10339	9457	9472
1320	8862	10523	9703	9692
1328	9060	10749	9918	9913
1336	9281	10858	10156	10133
1344	9407	11041	10399	10354
1360	10388	11331	10843	10839
