labid,age,error,depth,cc
Other dating methods,16035,1000,43,0
Other dating methods,16209,1000,45,0
Other dating methods,16496,1000,47,0
Other dating methods,16732,1000,49,0
Other dating methods,16868,1000,51,0
Other dating methods,17155,1000,53,0
Other dating methods,18236,1000,55,0
Other dating methods,19642,1000,57,0
Other dating methods,20329,1000,59,0
Other dating methods,20541,1000,61,0
Other dating methods,20688,1000,63,0
Other dating methods,21142,1000,65,0
Other dating methods,22010,1000,67,0
