depth	min	max	median	mean
0	-25	-19	-22	-22
0.5	-22	-15	-18	-18
2.5	-12	4	-4	-4
4	-7	20	7	7
6	1	40	22	22
8.5	11	67	40	40
10.5	27	88	59	59
12.5	47	145	87	89
14.5	55	222	113	120
16.5	60	303	140	151
18	63	364	160	174
20	67	446	186	205
22	93	465	218	234
24	106	491	253	264
26	117	521	287	294
28	127	559	318	323
30	134	611	347	353
32	175	626	378	383
34	205	641	411	414
36	228	662	444	444
38	246	695	476	474
40	263	736	508	505
42	325	749	536	535
44	380	764	564	565
46	424	786	596	595
48	456	816	627	625
50	480	852	658	655
52	522	871	682	679
54	548	891	706	704
56	565	916	729	728
58	575	952	750	753
60	584	1001	771	778
62.5	610	1026	800	805
65	629	1056	828	833
67.5	644	1096	855	860
70	657	1146	881	888
75	713	1193	939	943
77.5	732	1227	967	971
80	747	1269	995	999
82.5	782	1290	1021	1026
85	810	1313	1050	1053
87.5	833	1343	1078	1080
90	849	1378	1106	1108
92.5	890	1399	1133	1135
95	917	1423	1161	1162
97.5	938	1450	1189	1190
100	956	1487	1217	1217
102.5	1001	1506	1244	1245
105	1039	1528	1271	1273
107.5	1063	1554	1299	1301
110	1083	1591	1326	1329
112.5	1144	1607	1352	1357
115	1195	1627	1378	1385
117.5	1231	1649	1405	1412
120	1258	1677	1434	1440
125	1337	1746	1508	1514
130	1370	1880	1573	1588
135	1431	1962	1654	1665
140	1464	2097	1727	1742
145	1531	2167	1809	1819
150	1570	2277	1886	1896
155	1645	2343	1966	1973
160	1691	2442	2045	2050
165	1781	2492	2127	2129
175	1927	2620	2287	2284
185	2091	2733	2445	2438
195	2290	2832	2615	2592
205	2443	2944	2763	2727
215	2566	3078	2853	2838
225	2685	3196	2945	2942
230	2735	3264	2995	2995
235	2835	3308	3050	3055
245	2975	3502	3222	3226
260	3194	3922	3555	3556
267	3381	4017	3713	3710
275	3641	4159	3891	3893
285	3843	4387	4119	4118
295	4029	4636	4333	4330
305	4171	4821	4503	4500
315	4285	4998	4614	4625
325	4410	5148	4715	4747
335	4584	5277	4823	4895
338	4627	5329	4886	4946
345	4839	5442	5086	5115
348	4879	5518	5184	5196
358	4990	5724	5411	5394
368	5121	5861	5598	5572
378	5212	6092	5729	5713
382	5253	6187	5776	5764
387	5299	6294	5833	5828
392	5346	6418	5891	5892
