depth	min	max	median	mean
1	-72	-13	-41	-42
6	-59	30	-21	-19
13	-50	109	7	13
19	-45	178	31	40
26	-22	205	65	72
33	-7	230	103	104
38	0	254	127	127
46	41	323	187	178
52	62	410	234	221
59	80	488	275	271
72	644	840	739	738
85	981	1134	1064	1061
98	1017	1185	1103	1105
105	1040	1220	1125	1128
111	1057	1255	1143	1146
118	1072	1306	1163	1168
137	1123	1419	1217	1226
148	1179	1497	1261	1277
162	1237	1681	1356	1379
177	1308	2425	1612	1678
185	1380	2711	1766	1838
201	1486	3290	2078	2157
220	1668	3868	2451	2537
238	1897	4368	2814	2898
251.5	2080	4717	3090	3169
274	2368	5381	3535	3621
