depth	min	max	median	mean
10	-24	298	48	71
20	-17	626	127	173
30	26	775	233	274
40	47	981	326	374
50	105	1126	433	477
70	201	1454	636	685
90	312	1797	848	894
110	422	2135	1046	1102
130	550	2456	1251	1311
150	676	2799	1453	1522
160	732	2962	1556	1627
170	796	3103	1651	1729
180	852	3253	1754	1831
185	895	3338	1810	1882
190	924	3410	1864	1934
195	943	3520	1918	1986
200	969	3597	1974	2037
202.5	1020	3645	2010	2082
205	1062	3693	2048	2126
207.5	1112	3748	2091	2171
210	1155	3814	2138	2215
212.5	1201	3868	2178	2260
215	1228	3948	2222	2304
217.5	1251	4017	2267	2349
220	1284	4083	2312	2393
222.5	1342	4149	2358	2442
225	1407	4200	2398	2490
227.5	1457	4244	2443	2539
230	1508	4294	2487	2587
232.5	1557	4363	2535	2636
235	1597	4405	2582	2685
237.5	1631	4451	2630	2733
240	1660	4515	2677	2782
242.5	1745	4566	2716	2833
245	1826	4626	2763	2883
247.5	1905	4697	2805	2934
250	1971	4764	2849	2985
257.5	2120	4976	2994	3138
260	2141	5066	3047	3188
262.5	2271	5155	3141	3287
265	2368	5313	3232	3385
267.5	2432	5433	3338	3484
269	2461	5502	3394	3543
