depth	min	max	median	mean
527.25	5313	7519	7009	6880
529.25	5659	7535	7070	6960
531.25	6050	7549	7140	7040
533.25	6401	7566	7209	7120
535.25	6487	7587	7286	7200
537.25	6579	7635	7376	7283
539.25	6894	7645	7440	7382
541.25	7203	7656	7504	7481
545.25	7506	7898	7667	7679
547.25	7537	8170	7734	7777
549.25	7600	8249	7844	7868
551.25	7627	8358	7950	7958
553.25	7641	8511	8047	8049
555.25	7655	8689	8135	8140
557.25	7677	8866	8216	8228
559.25	7762	8890	8285	8293
561.25	7820	8919	8358	8359
563.25	7869	8964	8437	8424
565.25	7905	9023	8507	8490
567.25	7940	9109	8570	8553
569.25	8019	9127	8614	8597
571.25	8069	9151	8660	8641
573.25	8103	9185	8710	8685
575.25	8126	9221	8755	8729
577.25	8153	9266	8799	8773
579.25	8223	9278	8835	8813
581.25	8280	9294	8876	8853
583.25	8320	9315	8920	8893
585.25	8349	9349	8964	8933
587.25	8386	9393	9009	8974
589.25	8470	9400	9046	9017
591.25	8539	9411	9086	9061
595.25	8620	9448	9182	9147
599.25	8790	9491	9258	9229
603.25	8992	9505	9328	9308
607.25	9106	9534	9412	9388
611.25	9318	9584	9487	9480
615.25	9375	9802	9558	9572
619.25	9454	9970	9642	9663
623.25	9499	10084	9736	9752
629.25	9581	10294	9866	9889
633.25	9637	10346	9979	9983
637.25	9679	10467	10079	10076
641.25	9804	10501	10166	10156
645.25	9881	10549	10257	10236
649.25	10076	10619	10361	10349
653.25	10325	10666	10489	10487
657.25	10416	10869	10622	10629
661.25	10519	11217	10823	10839
665.25	10555	11743	11012	11049
667.75	10615	11990	11129	11175
669.25	10668	12018	11206	11242
671.25	10715	12062	11312	11331
677.25	10813	12311	11634	11601
679.25	11060	12330	11722	11706
681.25	11268	12349	11812	11810
683.25	11445	12371	11909	11914
685.25	11568	12406	12026	12019
687.25	11695	12505	12155	12143
689.25	12046	12693	12413	12403
691.25	12394	12887	12671	12664
693.25	12724	13099	12930	12925
695.25	13012	13337	13189	13186
697.25	13218	13578	13423	13418
703.25	13291	13771	13505	13511
705.25	13305	13869	13527	13542
707.25	13319	13957	13551	13573
709.25	13345	13988	13583	13603
711.25	13367	14020	13614	13634
713.25	13382	14061	13643	13664
715.25	13390	14124	13671	13694
717.25	13404	14186	13697	13724
719.25	13430	14209	13730	13754
721.25	13452	14233	13762	13784
727.25	13495	14376	13852	13875
730.25	13542	14410	13903	13922
735.25	13584	14494	13986	13999
739.25	13641	14560	14048	14061
