depth	min	max	median	mean
4	356	1451	1041	1001
20	668	1544	1205	1175
50	1290	1693	1460	1468
80	1470	2180	1761	1778
120	1792	2513	2188	2178
150	2228	2690	2467	2470
180	2411	2915	2653	2654
220	2614	3135	2869	2871
250	2839	3300	3036	3043
280	2985	3657	3264	3279
320	3202	4091	3608	3619
350	3427	4308	3872	3870
380	3697	4503	4134	4123
420	4187	4756	4452	4453
450	4371	5033	4678	4689
480	4575	5260	4934	4931
520	4975	5464	5266	5240
540	5101	5604	5376	5362
580	5380	5855	5577	5592
605	5542	6160	5803	5817
620	5644	6300	5966	5968
650	6006	6539	6284	6280
680	6267	7134	6629	6650
720	6678	7506	7166	7143
750	7308	7701	7513	7511
780	7527	8063	7778	7782
820	7937	8335	8117	8126
850	8115	8772	8389	8402
880	8317	9085	8678	8682
920	8666	9370	9059	9049
940	8990	9465	9242	9240
960	9178	9750	9461	9460
980	9458	10032	9658	9681
992	9549	10220	9784	9811
