depth	min	max	median	mean
0	-345	122	-235	-202
134	623	905	750	760
140	687	948	787	806
150	897	1293	1113	1108
160	1037	1730	1422	1410
170	1428	1910	1658	1658
180	1544	2472	1878	1907
190	1758	2716	2029	2087
200	1866	3127	2173	2268
210	5202	5973	5641	5628
232	8782	9491	9227	9197
240	9019	9609	9346	9336
250	9199	9790	9607	9574
260	9296	10294	9818	9813
270	9445	10382	9940	9932
280	9534	10543	10058	10052
290	9688	10618	10180	10171
300	9771	10750	10302	10289
320	10015	10938	10538	10520
330	10245	11003	10643	10638
340	10371	11104	10762	10756
350	10487	11167	10843	10841
360	10564	11271	10926	10927
370	10652	11330	10997	10998
380	10704	11431	11068	11069
390	10793	11482	11136	11139
400	10853	11565	11205	11208
410	10948	11616	11274	11278
420	11006	11694	11345	11347
430	11114	11742	11414	11416
440	11184	11811	11484	11484
450	11279	11868	11570	11566
460	11327	11986	11645	11647
470	11397	12052	11732	11729
480	11442	12182	11812	11811
520	11730	12499	12156	12141
530	11816	12546	12237	12225
540	11872	12630	12318	12309
550	12018	12713	12520	12490
560	12107	12912	12731	12671
570	12230	12968	12796	12743
580	12306	13077	12849	12814
590	12416	13123	12904	12874
600	12500	13199	12955	12933
610	12615	13242	13008	12991
620	12696	13308	13062	13049
630	12816	13344	13113	13108
640	12893	13404	13168	13167
650	12972	13456	13230	13229
660	13027	13545	13292	13292
670	13098	13595	13354	13353
680	13146	13675	13414	13414
690	13223	13721	13475	13475
700	13273	13796	13536	13536
710	13375	13843	13597	13598
720	13431	13919	13660	13660
730	13528	13979	13732	13733
740	13573	14057	13801	13806
750	13684	14166	13881	13885
760	13742	14314	13967	13964
766	13815	14493	14065	14084
