depth	min	max	median	mean
0	-76	75	1	1
10	4	201	98	98
25	71	435	228	234
50	218	740	448	456
75	393	973	679	680
100	691	1145	903	902
125	850	1394	1102	1107
150	1002	1628	1302	1306
175	1207	1816	1508	1508
200	1414	1997	1706	1706
225	1587	2230	1897	1899
250	1760	2426	2087	2088
275	1936	2599	2279	2278
300	2129	2771	2470	2469
325	2285	3067	2680	2674
350	2437	3380	2892	2881
375	2606	3681	3114	3090
400	3021	4097	3614	3599
425	3644	4455	4102	4088
450	3962	4895	4407	4410
475	4305	5277	4731	4729
500	4690	5885	5245	5261
525	5130	6439	5874	5850
550	6037	6767	6434	6429
575	6422	7284	6826	6833
600	6693	7695	7188	7191
625	7078	7979	7558	7549
650	7583	8266	7915	7916
675	7927	8839	8324	8341
700	8309	9251	8800	8797
725	8795	9629	9253	9241
750	9134	10139	9607	9611
775	9466	10560	9937	9957
800	9845	11049	10329	10365
830	10453	11847	11104	11118
855	11156	12435	11722	11736
860	11244	12551	11823	11837
