depth	min	max	median	mean
1	-3	3	0	0
9	15	469	158	181
13	22	703	236	272
17	53	903	319	363
21	109	965	426	456
25	147	1066	529	549
29	180	1199	621	642
33	266	1315	719	738
37	364	1369	824	838
41	435	1458	935	937
45	492	1577	1043	1036
49	786	1669	1179	1188
51	917	1726	1261	1273
53	995	1796	1348	1358
55	1050	1863	1437	1443
60	1141	2228	1644	1654
65	1505	2390	1895	1913
70	1894	2504	2174	2183
75	2183	2703	2454	2453
80	2420	2956	2706	2699
85	2509	3367	2939	2939
90	2566	3833	3166	3179
95	3005	3990	3445	3458
100	3424	4104	3742	3747
105	3642	4461	4033	4035
110	3800	4747	4266	4269
115	3890	5143	4466	4488
120	3954	5619	4661	4707
125	4160	5802	4901	4926
130	4346	5937	5150	5144
135	4456	6138	5386	5362
140	4787	6242	5581	5569
145	5058	6335	5793	5772
150	5268	6480	6024	5975
155	5662	6566	6193	6165
160	5992	6635	6357	6353
165	6134	6835	6551	6540
170	6539	7107	6865	6855
175	6838	7403	7226	7201
180	7000	7812	7584	7547
185	7213	7980	7754	7722
190	7392	8203	7869	7853
195	7503	8479	7981	7985
200	7689	8595	8093	8105
205	7845	8684	8208	8221
210	7932	8842	8326	8338
220	8376	9077	8631	8669
225	8438	9359	8813	8839
235	8823	9685	9242	9244
240	8925	9959	9457	9450
243	9122	10054	9580	9582
250	9601	10223	9892	9901
255	9732	10521	10132	10129
260	9970	10687	10308	10316
270	10247	11049	10685	10670
275	10668	11408	11127	11100
280	10848	12198	11607	11593
281	10874	12383	11706	11691
