depth	min	max	median	mean
8	12917	13885	13456	13441
18	13060	14009	13578	13567
28	13162	14245	13688	13692
38	13280	14368	13806	13809
46	13346	14517	13893	13902
58	13486	14664	14033	14045
68	13575	14844	14148	14164
78	13697	14953	14265	14281
88	13771	15109	14378	14397
218	15136	16625	15843	15852
228	15225	16764	15959	15967
238	15353	16873	16086	16092
248	15434	17037	16213	16218
263	15621	17206	16399	16403
278	15799	17394	16586	16588
288	15893	17539	16712	16712
298	16036	17637	16837	16836
308	16136	17787	16962	16961
316	16261	17856	17061	17060
328	16396	18004	17214	17209
338	16562	18090	17335	17334
348	16674	18223	17462	17459
358	16853	18302	17586	17585
368	16965	18424	17711	17710
378	17158	18492	17829	17834
388	17290	18600	17952	17958
398	17494	18676	18057	18083
448	18120	20226	18935	18997
468	18388	20828	19329	19400
488	18634	21421	19735	19806
508	18910	21990	20135	20213
528	19190	22522	20537	20620
548	19460	23048	20948	21025
568	19760	23569	21343	21431
588	20071	24094	21746	21836
608	20380	24615	22149	22236
648	20995	25611	22949	23040
688	21611	26607	23758	23847
708	21944	27100	24156	24251
728	22252	27575	24561	24655
748	22596	28068	24957	25055
768	22929	28554	25358	25455
778	23100	28766	25559	25654
788	23234	29007	25761	25854
