depth	min	max	median	mean
5	3	402	97	128
25	75	1685	547	639
50	343	2252	1255	1265
75	981	2626	1929	1895
100	1658	3071	2455	2427
125	1918	3505	2726	2722
150	2191	3864	3009	3017
175	2443	4190	3305	3309
200	2688	4512	3603	3604
225	2993	4770	3906	3897
250	3315	5005	4204	4188
275	3668	5225	4496	4485
300	4003	5478	4779	4775
325	4217	5733	5012	5009
350	4460	5983	5263	5250
375	4695	6232	5502	5492
399	4934	6453	5733	5723
425	5234	6658	5991	5977
450	5574	6836	6232	6222
475	5905	7049	6466	6468
499	6065	7355	6687	6696
525	6259	7673	6923	6935
550	6456	7916	7147	7158
575	6636	8159	7380	7383
600	6829	8423	7606	7611
625	7043	8626	7837	7837
650	7296	8823	8074	8068
675	7560	9025	8303	8299
700	7812	9234	8529	8526
725	8160	9402	8729	8746
740	8359	9510	8857	8884
750	8603	9703	9061	9096
760	8675	10150	9267	9309
775	9041	10429	9811	9780
780	9079	10663	9976	9938
785	9451	10707	10112	10097
790	9745	10778	10254	10256
795	9923	10890	10413	10415
800	10022	11076	10574	10574
805	10282	11190	10723	10727
810	10394	11466	10870	10879
815	10454	11799	11005	11032
820	10487	12210	11130	11184
830	10692	13423	11567	11686
840	10768	15250	11912	12188
850	11027	15923	12439	12703
855	11097	16492	12672	12961
859	11129	16998	12852	13168
