depth	min	max	median	mean
1	-12	28	-1	1
2	-11	69	10	15
7	-6	276	68	86
12	0	481	126	156
17	26	627	189	226
22	52	721	265	297
27	71	847	339	368
32	107	959	408	438
37	148	1036	480	508
42	177	1119	551	578
47	224	1224	621	649
52	286	1287	699	721
57	325	1389	773	794
62	382	1494	843	865
67	441	1550	915	936
72	485	1636	986	1007
77	540	1726	1057	1078
82	597	1787	1131	1149
87	645	1872	1205	1219
92	706	1949	1275	1290
97	780	2002	1350	1360
101	817	2055	1409	1417
105	853	2142	1467	1473
110	930	2191	1536	1544
116	1009	2279	1624	1629
121	1072	2365	1693	1700
126	1165	2419	1766	1772
129	1204	2457	1812	1816
132	1234	2496	1855	1859
134	1252	2543	1884	1888
137	1303	2582	1926	1931
139	1340	2612	1955	1960
142	1384	2646	1997	2003
147	1455	2709	2073	2075
153	1552	2795	2154	2162
158	1654	2867	2226	2235
161	1699	2912	2271	2279
163	1719	2945	2300	2308
166	1773	2982	2341	2351
168	1825	2999	2367	2378
190	2269	3284	2672	2698
195	2335	3376	2744	2775
200	2456	3489	2885	2907
202	2493	3539	2939	2960
207	2553	3736	3074	3092
212	2653	3931	3201	3223
216	2739	3996	3308	3326
221	2823	4126	3447	3455
226	2919	4274	3577	3584
230	3065	4343	3682	3689
235	3196	4459	3817	3820
240	3282	4622	3958	3951
247	3676	4753	4137	4155
249	3749	4792	4196	4213
258	3999	5226	4515	4541
267	4170	6354	4911	5002
270	4205	6795	5039	5156
272	4290	6920	5146	5258
277	4427	7230	5397	5512
281	4495	7684	5601	5716
286	4600	8186	5833	5970
291	4772	8472	6083	6221
293	4816	8600	6180	6321
295	4860	8754	6277	6421
298	4914	9055	6421	6572
300	4945	9296	6517	6672
