depth	min	max	median	mean
4	-174	80	-36	-38
7	-155	108	-15	-16
11	-138	160	13	13
15	-122	221	39	43
19	-111	285	63	72
21	-97	306	77	87
23	-79	313	94	102
25	-64	323	111	117
31	-32	356	162	163
35	-18	386	195	193
39	-3	429	226	223
43	32	449	255	252
51	91	473	317	309
59	133	514	381	366
67	245	530	437	422
71	285	536	464	450
77	319	553	506	492
83	345	576	534	519
87	359	588	540	527
91	370	604	547	535
95	382	619	552	543
99	391	633	558	551
103	406	642	564	559
107	426	652	571	567
111	443	661	578	574
119	468	685	591	590
129	512	705	607	609
151	648	787	699	704
155	667	827	725	730
161	691	888	761	769
165	712	901	785	791
167	721	908	796	801
171	736	926	820	823
175	744	952	842	844
181	762	1001	874	876
185	796	1012	894	896
191	834	1031	924	926
195	850	1049	945	946
201	877	1084	974	975
205	917	1093	988	992
211	961	1110	1011	1017
215	973	1126	1027	1034
219	981	1149	1043	1051
221	993	1160	1052	1061
225	1028	1174	1072	1084
227	1039	1197	1083	1096
229	1044	1218	1096	1108
233	1052	1252	1123	1131
237	1060	1290	1147	1155
259	1132	1508	1275	1285
261	1141	1526	1286	1297
263	1156	1534	1299	1309
271	1194	1588	1346	1357
283	1254	1693	1418	1431
287	1291	1722	1443	1458
291	1318	1752	1467	1485
295	1340	1792	1493	1512
307	1465	2038	1700	1714
319	1540	2610	1978	2002
327	1694	2796	2168	2190
335	1784	3080	2364	2378
351	1975	3651	2686	2719
353	1995	3730	2725	2760
355	2012	3809	2761	2800
357	2025	3894	2800	2841
365	2134	4160	2953	3002
369	2184	4268	3034	3082
377	2264	4529	3183	3242
389	2439	4855	3427	3484
395	2503	5040	3549	3605
411	2716	5492	3863	3929
419	2804	5741	4026	4092
427	2942	5951	4184	4253
439	3086	6259	4428	4493
447	3218	6462	4593	4655
