depth	min	max	median	mean
0	-33	-27	-30	-30
10	-29	84	8	13
20	-27	198	46	56
30	31	381	170	180
40	54	719	271	304
60	177	1192	644	656
80	479	1368	1052	1015
100	1032	1626	1339	1336
120	1159	1923	1494	1509
140	1288	2104	1677	1682
160	1440	2251	1855	1851
180	1628	2405	2040	2031
200	1916	2603	2231	2231
220	2042	2941	2419	2439
240	2187	3150	2647	2653
260	2373	3324	2879	2870
280	2606	3460	3099	3081
300	2961	3662	3320	3314
320	3087	3975	3499	3511
340	3245	4182	3698	3704
360	3412	4338	3907	3897
380	3630	4481	4100	4088
400	3968	4688	4308	4310
420	4107	5235	4562	4596
440	4288	5513	4853	4866
460	4509	5715	5154	5142
480	4831	5892	5451	5425
500	5344	6160	5734	5739
520	5517	6815	6044	6081
540	5731	7125	6427	6426
560	6028	7348	6791	6760
580	6494	7519	7130	7094
600	6855	7770	7387	7367
620	7022	8003	7555	7549
640	7214	8182	7738	7728
660	7418	8310	7931	7912
680	7677	8434	8112	8096
700	8027	8599	8301	8299
720	8140	9072	8503	8532
740	8280	9339	8743	8761
760	8475	9573	8988	8990
780	8742	9824	9209	9215
800	9096	10493	9578	9640
840	9680	11979	10826	10824
860	10198	12342	11478	11417
880	11228	12592	12034	12010
910	12079	15823	13229	13431
920	12191	17334	13637	13934
940	12589	19140	14588	14925
960	13017	20783	15590	15926
980	13558	22314	16591	16933
990	13894	22969	17103	17437
1010	14479	24374	18114	18444
