depth	min	max	median	mean
0.5	-160	127	-24	-24
5	-62	509	238	229
9.75	310	603	473	462
12.25	359	726	551	544
23	578	1161	905	896
28	852	1259	1080	1073
33	1159	1629	1340	1358
38	1292	2106	1675	1675
43	1555	2279	1966	1952
48	2030	2354	2211	2210
53	2259	2711	2503	2498
58	2631	3003	2805	2806
63	2876	3598	3149	3174
68	3007	4151	3520	3537
73	3177	4454	3851	3837
78	3537	4606	4141	4126
84.5	4179	4774	4526	4507
89.5	4615	5406	4970	4985
94.5	4950	5631	5405	5370
99.5	5506	6238	5777	5809
104.5	5641	6829	6122	6151
109.5	5822	7162	6503	6495
114.5	6089	7371	6884	6840
119.5	6588	7499	7247	7192
122	7109	7555	7395	7376
