depth	min	max	median	mean
0	-117	144	10	11
2.5	-43	212	84	84
5	-5	349	161	156
7.5	19	505	232	229
10	35	669	300	301
12.5	278	901	582	581
15	409	1224	882	861
17.5	507	1613	1178	1141
20	592	2032	1468	1421
22.5	949	2077	1613	1580
25	1245	2141	1759	1740
27.5	1423	2252	1923	1899
30	1554	2466	2074	2058
32.5	1625	2511	2130	2114
35	1679	2572	2184	2169
37.5	1722	2648	2236	2224
40	1762	2740	2285	2280
42.5	1833	2782	2339	2335
45	1897	2834	2395	2390
47.5	1943	2903	2450	2445
50	1984	2987	2507	2500
52.5	2061	3017	2560	2556
55	2127	3057	2617	2611
57.5	2173	3111	2674	2666
60	2218	3185	2727	2721
62.5	2304	3216	2784	2776
65	2374	3251	2840	2832
67.5	2429	3294	2897	2887
70	2467	3359	2953	2942
72.5	2572	3386	3006	2998
75	2654	3419	3060	3054
77.5	2717	3468	3117	3110
80	2766	3525	3175	3166
82.5	2884	3559	3229	3226
85	2972	3602	3289	3286
87.5	3025	3663	3350	3346
90	3069	3751	3407	3406
92.5	3147	3796	3467	3468
95	3198	3858	3530	3530
97.5	3237	3947	3591	3592
100	3269	4054	3650	3654
102.5	3362	4092	3712	3716
105	3431	4141	3777	3778
107.5	3478	4203	3844	3841
110	3518	4286	3906	3903
112.5	3577	4338	3958	3957
115	3612	4407	4012	4012
