depth	min	max	median	mean
0	-201	57	-61	-63
5	-144	361	27	48
10	-88	538	129	157
15	-30	680	241	264
20	35	814	348	369
25	101	947	460	477
30	179	1063	569	584
35	254	1176	682	692
40	339	1290	794	799
45	430	1394	904	907
50	529	1502	1010	1013
55	629	1598	1123	1122
60	741	1692	1231	1226
65	856	1785	1342	1333
70	981	1872	1450	1440
75	1105	1961	1558	1549
80	1240	2044	1662	1653
85	1396	2129	1760	1760
90	1587	2233	1853	1864
95	1680	2439	1990	2011
100	1777	2625	2132	2153
105	1875	2789	2287	2299
110	1988	2922	2444	2448
115	2114	3048	2596	2592
120.3	2258	3161	2754	2742
125	2401	3259	2893	2876
130	2578	3344	3036	3017
135	2832	3423	3177	3164
140	3015	3568	3303	3299
145	3129	3715	3405	3409
148	3235	3798	3476	3487
150	3264	3887	3524	3538
155	3392	4560	3780	3833
160	3541	5110	4106	4167
165	3711	5437	4442	4482
170	3917	5714	4791	4796
175	4180	5939	5156	5124
180	4501	6119	5483	5435
185	4911	6280	5806	5749
187.5	5331	6320	5933	5905
190	5553	6416	6085	6060
195	5999	6784	6342	6351
200	6117	7159	6547	6574
205	6257	7407	6779	6792
210	6420	7620	7001	7004
215	6602	7786	7228	7218
216	6687	7803	7268	7261
217	6761	7825	7311	7305
218	6809	7851	7357	7348
219	6843	7886	7402	7392
220	6871	7938	7447	7435
221	6988	7958	7482	7479
222	7085	7985	7518	7523
227.5	7435	8305	7835	7843
230	7502	8755	7994	8033
232.5	7681	8852	8216	8227
235	7755	9070	8422	8420
237.5	8071	9138	8627	8623
240	8210	9296	8855	8826
242.5	8608	9395	9052	9034
245	8716	9830	9233	9242
247.5	8863	9991	9404	9411
250	8929	10354	9552	9581
251	9010	10384	9623	9648
252	9061	10432	9700	9714
253	9095	10494	9777	9781
254	9129	10571	9846	9848
255	9159	10676	9911	9914
256	9248	10705	9979	9979
257	9307	10733	10050	10043
258	9357	10772	10124	10108
259	9392	10827	10196	10172
260	9423	10915	10262	10237
261	9557	10934	10326	10304
262	9652	10955	10394	10371
263	9729	10979	10466	10438
264	9777	11020	10541	10505
265	9812	11087	10612	10572
266	10003	11100	10661	10635
267	10165	11116	10712	10698
268	10309	11136	10770	10762
269	10413	11161	10834	10825
270	10483	11206	10903	10888
271	10596	11295	10993	10977
272	10654	11435	11081	11066
273	10694	11609	11161	11155
274	10723	11807	11234	11245
275	10742	12022	11311	11334
276	10905	12051	11402	11424
277	11024	12094	11497	11515
278	11104	12138	11601	11605
279	11155	12205	11707	11695
280	11193	12333	11806	11786
282	11386	12419	11931	11924
284	11468	12644	12056	12061
285	11494	12836	12108	12130
290	11647	13359	12344	12390
295	11810	13786	12590	12643
300	11960	14180	12836	12894
