depth	min	max	median	mean
100	3092	5732	4620	4560
110	3362	5860	4822	4766
120	3596	6010	5026	4971
130	3831	6180	5233	5173
140	4142	6298	5445	5385
150	4431	6446	5655	5597
160	4679	6602	5866	5808
170	4964	6717	6066	6006
175	5054	6801	6164	6105
195	5719	7006	6552	6503
200	5902	7051	6646	6603
210	6291	7146	6831	6802
220	6667	7242	7013	7000
230	6950	7370	7176	7171
240	7062	7637	7324	7329
250	7130	7898	7457	7473
260	7245	8019	7608	7615
265	7281	8124	7678	7686
270	7366	8166	7752	7757
290	7635	8378	8055	8042
300	7815	8478	8202	8184
310	7964	8575	8363	8324
320	8051	8652	8441	8407
330	8118	8766	8507	8483
340	8175	8864	8567	8552
350	8254	8942	8632	8620
360	8320	9028	8694	8688
370	8382	9114	8759	8755
380	8459	9189	8824	8824
400	8605	9355	8956	8961
410	8689	9448	9023	9028
420	8769	9547	9089	9096
430	8837	9650	9156	9163
440	8931	9759	9226	9233
455	9080	9955	9367	9363
460	9117	10027	9406	9410
470	9623	10244	9961	9954
480	9925	10628	10369	10366
