depth	min	max	median	mean
2	-58	210	63	67
5.5	-13	224	88	93
10.5	11	250	118	129
15	32	281	160	163
20	56	321	210	199
25	107	356	247	238
35	195	409	321	316
42	216	459	378	371
47.5	372	464	434	431
51	465	472	469	469
58.5	476	683	543	550
65	523	823	660	658
71.5	562	1006	819	808
76.5	593	1210	929	923
81	615	1405	1032	1027
85	797	1464	1142	1141
89.5	1054	1501	1277	1277
95	1313	1581	1441	1444
100	1398	1813	1592	1596
105	1463	1963	1694	1698
110	1502	2039	1770	1767
121	1557	2317	1917	1920
126.5	1660	2374	1993	1996
134.5	1771	2434	2110	2107
141	1828	2538	2204	2197
145.5	1911	2577	2258	2252
150	1998	2600	2309	2306
154	2054	2623	2357	2353
158	2090	2651	2411	2401
162	2124	2699	2459	2448
166	2286	2713	2530	2524
170	2412	2737	2607	2600
175	2502	2867	2702	2695
180	2547	3062	2786	2790
185	2656	3168	2879	2887
190	2790	3211	2980	2985
194	2870	3258	3064	3064
197	2918	3304	3126	3122
200	2955	3373	3188	3181
202	2975	3439	3226	3220
206	3040	3553	3303	3299
210	3083	3724	3372	3378
215	3123	3986	3453	3477
222	3161	4361	3562	3615
226	3253	4433	3658	3707
230	3308	4503	3755	3798
235	3359	4665	3867	3913
240	3395	4879	3973	4028
244	3460	5006	4062	4116
251	3577	5099	4228	4263
255	3624	5179	4324	4347
262	3682	5349	4487	4494
267	3852	5395	4611	4613
271	3937	5436	4712	4709
276	4019	5520	4838	4828
280	4082	5609	4935	4923
284	4167	5688	5029	5015
288	4305	5725	5119	5104
293	4455	5771	5243	5214
297	4530	5819	5344	5302
300	4596	5876	5415	5368
305	4806	5936	5518	5477
310	5093	5969	5605	5584
315	5345	6004	5701	5692
320	5523	6067	5805	5799
326	5762	6161	5952	5967
330	5871	6331	6082	6091
335	5948	6668	6227	6247
341	5981	7135	6394	6434
351	6238	7346	6733	6749
356	6304	7458	6917	6906
360	6359	7574	7053	7032
365	6578	7685	7199	7184
370	6850	7753	7342	7332
372.5	6949	7797	7418	7406
375	7024	7859	7497	7480
