depth	min	max	median	mean
1	-37	-32	-34	-34
3	-25	-15	-19	-19
5	-14	3	-3	-4
7	-4	11	4	4
9	-1	33	12	13
11	10	114	40	46
13	16	304	83	104
15	19	498	127	162
17	54	576	223	246
19	68	755	301	331
21	119	930	410	438
23	157	1143	542	570
25	181	1487	654	701
27	289	1573	802	834
29	333	1717	948	967
31	443	1873	1080	1102
33	538	1968	1234	1237
35	595	2151	1377	1372
37	779	2204	1513	1505
39	882	2299	1659	1638
41	1085	2414	1787	1773
43	1345	2482	1914	1908
45	1468	2619	2048	2044
47	1557	2736	2147	2147
49	1610	2982	2231	2251
51	1676	3181	2322	2353
53	1732	3356	2417	2454
55	1781	3614	2503	2556
57	1857	3740	2608	2658
59	1915	3921	2705	2759
61	1986	4093	2801	2861
