depth	min	max	median	mean
0	-57	-53	-55	-55
4	-48	-45	-47	-47
8	-39	-37	-38	-38
12	-30	-28	-29	-29
16	-20	-17	-18	-18
20	-6	-1	-3	-3
24	8	16	12	12
28	21	34	27	27
32	36	49	43	43
36	52	64	58	58
40	64	81	73	73
44	75	100	89	88
48	90	141	108	110
52	95	209	128	134
56	98	278	149	158
60	101	347	169	182
64	119	365	195	207
68	130	394	221	231
72	137	427	245	255
76	170	475	281	292
80	279	497	358	366
84	382	522	434	439
88	472	568	512	513
92	525	613	559	560
96	556	623	578	580
100	570	635	600	600
104	576	658	621	620
108	625	673	649	649
112	656	711	680	681
116	663	779	710	713
120	668	849	740	745
124	789	914	841	844
128	892	1000	939	944
132	970	1120	1034	1043
136	1034	1240	1127	1134
140	1072	1317	1200	1198
144	1092	1415	1265	1263
152	1177	1601	1391	1393
156	1302	1618	1458	1460
160	1412	1644	1526	1527
164	1489	1682	1594	1593
168	1576	1713	1639	1644
172	1617	1777	1685	1690
176	1632	1888	1729	1736
184	1673	2036	1808	1819
188	1690	2072	1849	1857
192	1703	2112	1888	1894
196	1726	2163	1925	1932
200	1772	2182	1966	1969
216	1915	2285	2126	2120
232	2152	2346	2299	2285
264	2443	3571	2808	2860
280	2602	4111	3122	3182
296	2779	4562	3437	3497
312	2966	4999	3743	3812
328	3183	5456	4074	4135
344	3393	5887	4401	4459
360	3614	6312	4720	4778
376	3854	6698	5038	5101
392	4087	7074	5353	5423
416	4464	7720	5840	5903
