depth	min	max	median	mean
5	319	549	449	445
10	639	1097	897	891
15	959	1646	1345	1336
20	1181	1801	1517	1513
25	1304	2149	1676	1691
30	1365	2573	1825	1868
35	1517	2684	1987	2018
40	1596	2828	2155	2167
45	1646	3053	2308	2316
50	1863	3119	2454	2463
55	1974	3228	2616	2610
60	2050	3422	2767	2757
65	2353	3477	2903	2903
70	2581	3569	3043	3048
75	2723	3717	3195	3194
80	2915	3839	3362	3359
85	2995	4084	3513	3525
90	3055	4470	3656	3690
95	3245	4562	3843	3860
100	3347	4726	4031	4030
105	3417	4980	4203	4201
110	3622	5052	4368	4363
115	3758	5163	4548	4526
120	3846	5339	4717	4689
125	4210	5391	4862	4850
130	4450	5454	5021	5012
135	4598	5569	5197	5173
140	4704	5625	5275	5250
145	4827	5713	5353	5327
150	4914	5836	5421	5404
155	4997	5884	5484	5469
160	5072	5954	5550	5534
165	5119	6035	5612	5599
170	5220	6074	5674	5666
175	5295	6126	5740	5732
180	5351	6198	5807	5799
185	5479	6244	5868	5865
190	5570	6288	5931	5931
195	5636	6358	6002	5997
200	5752	6440	6094	6091
205	5813	6587	6184	6185
210	5854	6786	6263	6280
215	5959	6865	6367	6378
220	6020	6962	6469	6477
225	6065	7104	6565	6576
230	6201	7175	6670	6675
235	6273	7256	6779	6775
240	6325	7384	6877	6874
245	6514	7435	6972	6972
250	6634	7493	7076	7070
255	6708	7592	7176	7168
260	6786	7743	7273	7270
