depth	min	max	median	mean
1	-17	39	-1	2
4	-15	208	46	60
10	-11	546	141	174
14	-9	772	204	251
19.5	51	877	323	359
24	79	966	428	448
30	103	1157	548	567
34	237	1209	618	643
39.5	354	1289	717	748
44	412	1407	803	834
50	1023	1651	1257	1282
52	1238	1751	1434	1454
54	1424	1875	1617	1626
58	1672	2222	1977	1969
59.5	1755	2390	2108	2098
61	1833	2487	2198	2186
65	1971	2738	2365	2366
70	2040	3229	2563	2590
75	2075	3760	2765	2815
79	2342	3806	2934	2978
84	2537	3890	3162	3182
90	2672	4140	3435	3427
92	3090	4204	3649	3645
94	3468	4302	3859	3863
96	3730	4461	4077	4081
98	3843	4739	4303	4299
99.5	3888	4985	4472	4462
104	3969	5868	4964	4953
110	5101	6158	5636	5634
112	5453	6228	5867	5863
114	5700	6415	6102	6091
116	5825	6814	6316	6320
119.5	5937	7625	6696	6720
124	6167	7823	6972	6979
130	6303	8052	7337	7282
134	6351	8303	7550	7484
139.5	6936	8418	7808	7767
144	7439	8472	8020	8000
150	7834	8675	8339	8310
154	8100	8729	8422	8418
156	8204	8757	8471	8472
158	8282	8821	8518	8526
159.5	8321	8899	8552	8567
161.5	8348	9024	8599	8620
