labid,age,error,depth,cc
Core top,-53,1,0,0
unassigned,-52,1,1,0
unassigned,-48,2,3,0
unassigned,-44,3,5,0
unassigned,-23,4,7,0
unassigned,3,8,9,0
unassigned,34,10,11,0
unassigned,70,20,13,0
unassigned,95,30,14,0
CAMS-108931,785,70,73,1
CAMS-114114,1590,70,117,1
Tephra,2505,105,157,0
Tephra,3673,45,202.5,0
CAMS-108932,3945,70,224,1
CAMS-108933,4750,70,256,1
CAMS-114115,6385,70,300,1
Tephra,7627,150,351,0
CAMS-114116,7760,90,401,1
CAMS-114117,8360,70,467,1
CAMS-114118,8530,180,536,1
CAMS-114119,9020,70,598,1
CAMS-108934,9520,90,672,1
