depth	min	max	median	mean
0	424	897	683	679
2.5	612	944	759	767
5	708	1039	848	855
7.5	737	1210	935	944
10	760	1413	1011	1032
12.5	775	1625	1088	1120
15	790	1838	1165	1208
17.5	802	2057	1242	1296
20	814	2283	1318	1385
22.5	924	2338	1426	1485
25	997	2397	1536	1585
27.5	1049	2455	1657	1685
30	1089	2529	1784	1785
32.5	1128	2603	1901	1885
35	1162	2709	2013	1985
37.5	1194	2834	2120	2085
40	1227	2988	2221	2185
42.5	1445	3009	2320	2288
45	1660	3031	2416	2392
47.5	1870	3056	2513	2495
50	2075	3084	2610	2599
52.5	2262	3122	2705	2702
55	2430	3161	2808	2806
57.5	2576	3217	2912	2909
60	2693	3311	3018	3012
62.5	2737	3333	3051	3046
65	2780	3356	3085	3079
67.5	2806	3386	3119	3112
70	2834	3421	3153	3145
72.5	2858	3463	3186	3178
75	2880	3516	3218	3211
77.5	2897	3574	3250	3245
80	2911	3638	3280	3278
82.5	2969	3654	3310	3310
85	3022	3669	3340	3341
87.5	3067	3689	3372	3373
90	3108	3716	3403	3405
92.5	3139	3741	3433	3436
95	3167	3772	3464	3468
97.5	3188	3812	3497	3500
100	3210	3858	3526	3532
102.5	3247	3884	3557	3563
105	3277	3913	3588	3594
107.5	3302	3951	3620	3625
110	3325	3993	3651	3657
112.5	3344	4047	3681	3688
115	3362	4109	3709	3719
117.5	3379	4177	3738	3750
120	3391	4249	3764	3782
122.5	3424	4272	3797	3813
125	3459	4296	3829	3843
127.5	3483	4320	3861	3874
130	3506	4351	3895	3905
132.5	3523	4386	3926	3936
135	3542	4428	3956	3966
137.5	3557	4480	3987	3997
140	3569	4532	4018	4028
142.5	3608	4555	4048	4059
145	3641	4578	4081	4090
147.5	3670	4603	4113	4121
150	3698	4631	4147	4152
152.5	3717	4661	4180	4183
155	3735	4698	4213	4214
157.5	3752	4742	4245	4245
160	3770	4788	4276	4276
162.5	3815	4809	4305	4307
165	3849	4827	4337	4337
167.5	3880	4848	4369	4368
170	3909	4867	4402	4398
172.5	3933	4893	4434	4429
175	3953	4922	4468	4459
177.5	3974	4958	4499	4489
180	3994	5000	4529	4520
182.5	4047	5015	4557	4550
185	4091	5029	4588	4581
187.5	4136	5049	4620	4611
190	4172	5068	4651	4641
192.5	4200	5089	4681	4672
195	4224	5116	4714	4702
197.5	4250	5146	4746	4732
200	4270	5180	4779	4762
202.5	4337	5191	4805	4793
205	4397	5202	4832	4824
207.5	4451	5220	4859	4854
210	4503	5236	4886	4885
212.5	4545	5259	4916	4916
215	4575	5281	4947	4946
217.5	4605	5314	4977	4977
220	4632	5352	5008	5008
222.5	4663	5371	5030	5031
225	4695	5393	5054	5054
227.5	4724	5413	5076	5077
230	4746	5436	5099	5100
232.5	4770	5464	5121	5123
235	4792	5494	5144	5147
237.5	4812	5532	5167	5170
240	4834	5574	5189	5193
242.5	4865	5593	5208	5214
245	4894	5614	5228	5235
247.5	4919	5637	5247	5256
250	4935	5663	5269	5277
252.5	4953	5689	5289	5298
255	4970	5720	5310	5319
257.5	4983	5757	5329	5339
260	4995	5795	5349	5360
262.5	5026	5814	5366	5381
265	5057	5835	5385	5402
267.5	5080	5856	5405	5422
270	5101	5882	5423	5443
272.5	5119	5911	5441	5463
275	5134	5946	5460	5484
277.5	5148	5981	5479	5505
280	5162	6019	5499	5525
282.5	5212	6052	5527	5559
285	5256	6095	5556	5592
287.5	5287	6143	5585	5626
290	5310	6187	5620	5660
