depth	min	max	median	mean
2.5	-61	-33	-46	-46
5.5	-57	-6	-29	-30
11.5	-52	51	4	3
17.5	-48	109	37	35
17.500005	-48	109	37	35
23.5	-13	185	93	91
29.5	7	308	163	162
35.5	21	449	231	233
41.5	66	563	300	305
47.5	208	575	374	381
53.5	321	594	455	457
59.5	387	637	540	533
65.5	553	673	604	611
71.5	572	865	677	689
77.5	581	1090	734	767
83.5	607	1203	798	831
89.5	629	1230	872	886
95.5	642	1282	932	940
101.5	673	1348	990	996
107.5	731	1369	1059	1058
113.5	755	1399	1140	1119
119.5	775	1461	1216	1181
125.5	977	1480	1279	1259
131.5	1183	1495	1340	1339
137.5	1324	1533	1400	1418
140.5	1362	1611	1452	1465
148	1560	1759	1671	1668
154	1657	1977	1835	1831
160	1719	2221	2004	1993
166	1788	2326	2073	2070
172	1819	2536	2133	2146
178	1843	2772	2187	2223
