depth	min	max	median	mean
0	-3	3	0	0
2	232	409	351	343
5	579	1023	878	857
7	811	1432	1229	1199
10	1158	2046	1756	1713
12	1390	2455	2107	2056
15	1737	3069	2634	2570
18	2084	3683	3161	3084
20	2316	4092	3512	3426
22	2440	4107	3546	3468
25	2637	4130	3594	3531
28	2795	4160	3642	3593
30	2892	4179	3675	3635
32	2975	4206	3710	3677
35	3081	4251	3763	3740
38	3170	4317	3822	3802
40	3208	4365	3861	3844
45	3447	4407	3949	3945
48	3554	4445	4005	4005
50	3609	4480	4046	4046
55	3704	4609	4143	4146
57	3724	4678	4180	4187
60	3754	4798	4232	4247
62	3913	4926	4363	4381
65	4010	5377	4547	4583
67	4045	5784	4653	4717
70	4086	6409	4802	4919
72	4106	6859	4896	5053
75	4132	7540	5039	5255
77	4146	8002	5133	5389
78	4152	8243	5179	5457
80	4164	8716	5272	5591
82	4297	8904	5480	5786
85	4391	9415	5781	6079
87	4429	9824	5975	6275
90	4481	10465	6232	6568
92	4518	10981	6386	6763
95	4566	11931	6618	7056
