depth	min	max	median	mean
44	924	2324	1659	1648
48	1066	2434	1826	1801
52	1232	2549	1975	1952
56	1421	2617	2129	2100
60	1502	2729	2285	2247
64	1912	2774	2408	2396
68	2237	2853	2544	2545
72	2409	2997	2704	2701
76	2483	3372	2842	2863
80	2534	3815	2971	3025
84	2647	3980	3133	3183
88	2713	4222	3282	3341
92	2808	4446	3444	3502
96	2914	4603	3619	3665
100	2983	4859	3775	3828
104	3140	4956	3952	3988
108	3242	5144	4115	4147
112	3374	5286	4293	4305
116	3515	5390	4476	4462
120	3609	5568	4646	4618
124	3818	5619	4897	4777
128	3961	5703	5153	4935
132	4093	5934	5349	5116
136	4196	6413	5495	5319
138	4225	6667	5562	5421
140	4259	6952	5630	5522
142	4357	7069	5723	5624
144	4425	7199	5806	5725
