depth	min	max	median	mean
0.5	-64	-30	-48	-47
11.5	-53	128	-9	4
24.5	-35	229	56	66
34.5	-12	292	105	114
44.5	5	342	157	161
54.5	44	374	209	208
64.5	88	412	256	255
69.5	108	424	281	279
73.5	120	440	301	298
75.5	130	450	312	308
77.5	148	453	329	322
79.5	159	459	346	335
83.5	176	478	381	362
86.5	189	504	402	382
88.5	198	534	412	395
91.5	234	579	438	429
94.5	283	648	481	477
96.5	304	708	509	509
98.5	315	774	536	541
100.5	324	847	563	573
103.5	333	964	603	621
106.5	373	1031	648	669
109.5	422	1047	704	717
112.5	450	1062	767	765
115.5	472	1088	831	813
117.5	482	1114	870	845
120.5	513	1165	921	893
123.5	635	1175	957	939
126.5	749	1191	995	984
129.5	853	1204	1034	1030
132.5	936	1222	1073	1075
135.5	990	1253	1117	1119
137.5	1015	1269	1141	1142
140.5	1040	1300	1178	1177
143.5	1060	1341	1215	1211
146.5	1072	1399	1250	1246
149.5	1081	1468	1284	1280
152.5	1163	1487	1324	1324
154.5	1222	1493	1352	1354
155.5	1249	1497	1366	1369
156.5	1275	1501	1381	1384
157.5	1297	1506	1396	1399
160.5	1346	1533	1445	1444
163.5	1369	1622	1486	1489
166.5	1405	1698	1537	1541
169.5	1434	1771	1601	1601
172.5	1449	1867	1663	1661
175.5	1462	1980	1719	1721
177.5	1470	2061	1757	1761
180.5	1496	2166	1814	1821
183.5	1599	2177	1873	1879
186.5	1680	2193	1934	1938
189.5	1738	2207	2000	1996
192.5	1775	2236	2071	2055
195.5	1814	2291	2130	2107
198.5	1850	2302	2152	2132
