depth	min	max	median	mean
610	-27	32	6	5
620	-9	70	27	28
630	-1	126	46	50
640	20	148	69	73
650	30	183	92	96
655	55	200	109	114
660	69	222	127	132
665	77	251	144	149
680	125	371	229	234
690	143	515	289	301
700	202	562	362	367
710	231	645	433	433
720	312	696	506	505
740	414	913	658	660
760	524	1198	814	825
780	637	1419	979	990
790	681	1539	1059	1072
800	762	1616	1143	1154
810	812	1725	1226	1236
820	894	1796	1311	1319
830	945	1897	1394	1402
840	1034	1964	1477	1483
860	1187	2128	1644	1647
880	1348	2275	1812	1811
900	1515	2426	1979	1976
920	1705	2563	2142	2141
940	1921	2680	2305	2307
950	2007	2741	2386	2391
958	2070	2853	2458	2462
980	2210	3181	2650	2658
1000	2343	3439	2822	2838
1020	2486	3675	2996	3018
1040	2633	3922	3170	3197
1080	2949	4397	3518	3556
1120	3310	4876	3857	3916
1160	3726	5427	4262	4341
