depth	min	max	median	mean
0	-3	3	0	0
5	12	491	243	242
10	24	982	485	483
15	36	1474	728	725
20	701	1519	1079	1087
25	1226	1691	1445	1449
30	1380	2303	1803	1811
35	1939	2470	2190	2194
40	2355	2815	2575	2577
50	2748	3945	3344	3348
60	2879	5652	4073	4125
65	3639	5724	4508	4563
70	4265	5833	4975	5001
75	4675	6118	5450	5438
80	5646	6286	5984	5982
85	5910	7088	6526	6526
90	5997	8116	7071	7070
95	7002	8181	7588	7587
100	7849	8344	8102	8103
105	8054	9193	8630	8620
110	8377	9274	8829	8830
115	8566	9436	9056	9040
120	8667	9821	9257	9250
125	8838	11153	9647	9737
130	8909	12933	9956	10224
