depth	min	max	median	mean
34	14	416	54	77
49	65	581	96	129
51	73	604	101	136
53	79	613	107	143
53.00002	81	613	110	145
55	86	614	117	152
61	110	694	175	210
67	145	811	252	288
71	179	881	304	339
77	231	1005	381	416
79	257	1039	407	442
81	275	1078	433	468
89	365	1211	534	569
95	441	1324	608	645
101	528	1428	679	722
107	640	1524	747	798
111	690	1592	804	856
121	781	1772	960	1006
131	893	1962	1112	1157
135	943	2031	1173	1217
141	1020	2142	1264	1308
149	1133	2292	1384	1428
161	1310	2526	1564	1609
171	1477	2724	1709	1761
181	1679	2925	1849	1912
