depth	min	max	median	mean
740.5	-32	-24	-29	-28
748.5	-30	53	-11	-4
756.5	-29	130	7	20
764.5	-22	172	32	44
768.5	-19	181	47	56
770	-18	186	53	61
772.5	-16	194	61	69
780	-12	235	85	91
800	31	290	150	152
820	111	349	206	212
840	187	1026	524	547
857	373	1097	855	818
877	1059	1625	1239	1272
897	1162	2483	1651	1696
917	1345	2942	2087	2105
937	1643	3239	2547	2515
962	2253	3505	3116	3052
977	3124	3714	3423	3420
997	3316	4633	3793	3845
1007	3448	4886	4013	4056
1017	3518	5074	4256	4269
1023	3630	5208	4386	4398
1028	3728	5250	4513	4507
1037	3829	5359	4759	4704
1044	4109	5448	4910	4867
1050	4436	5479	5035	5012
1055	4619	5519	5160	5134
1060	4731	5592	5295	5255
1070	4987	5691	5430	5409
1072	5010	5739	5463	5440
1074	5028	5811	5490	5471
1077	5054	5929	5525	5517
1080	5068	6069	5557	5564
1085	5132	6109	5618	5622
1090	5174	6175	5673	5680
1100	5225	6408	5775	5796
1120	5418	6658	6017	6024
1140	5619	6845	6250	6246
1165	5943	7031	6545	6529
1180	6101	7155	6734	6705
1200	6507	7274	6945	6932
1220	6830	7597	7180	7189
1240	6962	7940	7399	7418
1265	7214	8156	7707	7702
1280	7326	8284	7894	7872
1300	7682	8389	8143	8112
1320	8099	8703	8363	8373
1340	8225	9354	8586	8640
1365	8428	9759	8942	8984
1380	8518	10026	9160	9194
1400	8711	10303	9447	9470
1420	8976	10521	9730	9748
1440	9269	10702	10007	10023
1465	9464	10856	10200	10190
1480	9566	10960	10310	10289
1500	9699	11069	10439	10421
1520	9842	11177	10562	10547
1540	9997	11275	10693	10675
1562	10187	11387	10839	10821
1580	10331	11480	10957	10939
1600	10524	11579	11098	11068
1620	10682	11692	11219	11189
1640	10764	11821	11311	11294
1680	10940	12052	11510	11504
1720	11137	12283	11723	11720
1760	11356	12480	11940	11934
1800	11586	12656	12156	12146
1840	11806	12864	12364	12358
1880	12005	13115	12574	12570
1940	12320	13487	12883	12888
2000	12657	13871	13208	13223
2040	12858	14170	13453	13472
2100	13179	14609	13822	13844
2140	13331	14882	14032	14053
2200	13568	15299	14336	14361
