depth	min	max	median	mean
1	-139	103	-19	-19
3	-102	144	29	27
5	-82	195	79	72
7	-73	253	128	118
9	-66	316	176	163
11	-58	385	223	208
13	-52	456	270	254
15	-46	530	318	299
17	-25	536	333	317
19	-10	545	349	335
21	6	561	368	354
23	20	582	387	372
25	31	610	405	390
27	42	643	423	408
29	53	681	440	426
31	72	707	455	443
33	104	718	469	458
35	132	729	483	472
37	156	741	497	487
39	174	757	512	502
41	189	776	527	517
43	203	799	540	532
45	214	828	553	547
47	255	836	565	562
49	289	844	578	577
51	322	852	591	592
53	352	865	604	606
55	375	876	617	621
57	394	891	631	636
59	408	907	645	651
61	462	928	665	676
63	537	954	692	711
65	575	987	723	747
67	597	1022	763	782
69	614	1089	799	817
71	626	1161	833	852
73	636	1248	865	887
75	643	1341	895	923
77	723	1363	955	981
79	787	1389	1019	1039
81	837	1423	1084	1097
83	874	1467	1148	1155
85	904	1526	1211	1213
87	929	1605	1272	1272
89	953	1702	1330	1330
91	1018	1768	1387	1390
93	1112	1801	1444	1452
95	1182	1849	1508	1515
97	1229	1929	1572	1577
99	1263	2043	1632	1640
101	1294	2185	1691	1702
103	1319	2341	1744	1765
105	1336	2501	1795	1827
107	1404	2530	1847	1877
109	1446	2559	1899	1927
111	1482	2592	1957	1977
113	1516	2631	2015	2027
115	1539	2682	2072	2077
117	1556	2747	2125	2128
119	1576	2825	2175	2178
121	1648	2887	2229	2234
123	1759	2922	2287	2296
125	1848	2966	2349	2359
127	1915	3016	2415	2421
129	1958	3087	2482	2483
131	1997	3181	2545	2546
133	2024	3297	2603	2608
