depth	min	max	median	mean
1	-44	-14	-29	-29
10	-37	32	-15	-12
20	-33	92	0	8
30	-22	139	18	27
40	-16	196	35	46
50	-2	238	53	66
60	6	293	71	85
70	27	339	88	105
80	40	394	105	124
90	75	450	125	150
100	91	514	146	175
120	159	1163	462	501
130	222	1228	564	598
140	257	1322	665	694
150	339	1393	769	793
160	389	1494	872	893
170	498	1555	983	992
180	560	1653	1091	1092
190	671	1721	1195	1195
200	733	1829	1303	1297
210	850	1894	1410	1401
220	929	1987	1520	1505
230	1067	2045	1622	1603
240	1166	2143	1722	1702
250	1315	2185	1830	1805
260	1409	2269	1930	1908
270	1642	2316	2025	2013
280	1779	2394	2128	2119
290	1972	2432	2197	2209
300	2070	2518	2286	2298
310	2123	2578	2348	2352
320	2162	2675	2401	2405
325	2187	2698	2428	2431
330	2211	2724	2456	2457
340	2245	2799	2507	2510
350	2291	2849	2562	2563
360	2328	2914	2614	2617
370	2384	2957	2673	2672
380	2421	3025	2728	2726
390	2485	3065	2783	2780
400	2522	3120	2836	2833
410	2595	3166	2890	2887
420	2641	3223	2946	2942
431	2705	3261	3003	2999
443	2770	3318	3067	3061
447	2801	3331	3089	3083
460	2874	3386	3164	3154
470	2953	3412	3214	3207
480	3003	3460	3268	3261
490	3053	3521	3311	3306
500	3085	3614	3352	3352
510	3126	3658	3397	3397
520	3160	3730	3439	3442
530	3201	3776	3485	3488
540	3241	3839	3530	3534
550	3288	3883	3577	3580
560	3320	3938	3621	3625
570	3373	3978	3669	3671
583	3423	4048	3728	3730
590	3454	4078	3763	3763
600	3489	4138	3809	3809
610	3543	4180	3855	3856
620	3576	4238	3902	3902
630	3623	4269	3948	3948
640	3659	4320	3997	3994
650	3714	4358	4042	4041
660	3756	4412	4087	4088
670	3812	4441	4133	4133
680	3852	4492	4179	4178
690	3902	4521	4225	4223
700	3941	4571	4270	4269
710	4008	4597	4319	4316
720	4050	4646	4368	4363
730	4113	4675	4411	4409
740	4154	4719	4458	4454
750	4230	4741	4501	4501
764	4313	4784	4564	4565
770	4363	4796	4589	4591
780	4424	4825	4630	4636
