depth	min	max	median	mean
0	-40	-34	-37	-37
5	-28	122	41	43
10	-20	281	119	122
15	-11	439	197	202
20	-2	598	274	282
25	145	618	356	364
30	277	644	439	445
35	389	693	523	527
40	469	778	610	608
45	603	983	765	773
50	642	1362	913	938
60	694	2168	1204	1268
70	952	2332	1616	1623
80	1082	2685	2020	1978
90	1813	2764	2337	2321
100	2255	2985	2696	2665
110	2493	3217	2893	2882
120	2589	3732	3068	3099
130	2751	3894	3271	3289
140	2847	4193	3458	3479
150	3039	4333	3665	3672
160	3148	4565	3870	3866
170	3396	4674	4070	4062
180	3537	4871	4281	4259
190	3888	4965	4466	4454
200	4086	5135	4667	4649
210	4452	5223	4843	4838
220	4598	5488	5019	5027
230	4723	5701	5178	5187
240	4794	6051	5319	5346
250	4936	6196	5486	5509
260	5024	6480	5645	5672
270	5175	6605	5817	5834
280	5267	6829	5979	5995
290	5424	6946	6146	6158
300	5525	7149	6315	6321
310	5709	7253	6482	6485
320	5826	7431	6659	6649
330	6016	7526	6825	6811
340	6154	7691	6994	6973
350	6368	7774	7158	7134
360	6497	7912	7327	7295
370	6757	7988	7482	7456
380	6916	8130	7653	7617
390	7285	8190	7797	7779
395	7415	8230	7875	7860
400	7503	8298	7957	7941
405	7596	8333	8016	8003
410	7663	8395	8079	8066
415	7710	8490	8136	8128
420	7753	8622	8190	8191
430	7839	8744	8293	8295
440	7898	8939	8391	8400
450	8003	9036	8493	8503
460	8068	9194	8592	8606
470	8174	9291	8699	8709
480	8241	9437	8799	8812
490	8349	9538	8907	8915
500	8415	9676	9010	9018
510	8538	9756	9113	9123
520	8615	9894	9216	9228
530	8735	9981	9323	9332
540	8808	10102	9430	9436
550	8946	10191	9534	9540
560	9031	10310	9641	9644
570	9173	10387	9743	9749
580	9274	10506	9850	9855
590	9419	10585	9945	9959
600	9524	10710	10049	10063
610	9680	10826	10170	10191
620	9773	10997	10293	10318
630	9902	11143	10440	10460
640	9985	11346	10581	10601
650	10135	11470	10722	10741
660	10228	11659	10861	10880
670	10398	11794	11001	11020
680	10498	11971	11142	11160
690	10681	12092	11277	11300
705	10884	12362	11504	11529
