depth	min	max	median	mean
8	-2	36	29	26
10	9	56	47	44
12	20	75	66	61
14	30	95	84	79
15	36	105	94	88
16	41	115	103	97
17	47	125	112	106
18	52	135	121	114
19	57	145	130	123
19.000005	57	145	130	123
20	63	155	140	132
21	236	338	314	308
21.5	324	432	402	396
22	410	525	490	484
23	581	712	665	660
23.5	665	806	753	748
25	910	1088	1017	1012
27	1243	1465	1369	1364
28	1409	1654	1545	1540
29	1573	1842	1721	1716
30	1736	2031	1897	1892
31	1900	2221	2073	2068
32	2063	2411	2250	2243
33	2225	2600	2426	2419
34	2388	2790	2602	2595
35	2549	2980	2779	2771
36	2711	3170	2955	2947
37	2871	3360	3131	3123
38	3032	3551	3308	3299
39	3192	3741	3484	3475
40	3353	3932	3661	3651
41	3743	4221	3998	3988
42	4098	4542	4331	4325
43	4426	4890	4655	4663
44	4727	5269	4983	5000
45	4998	5689	5315	5337
