depth	min	max	median	mean
20	26	597	225	249
40	198	836	508	507
60	595	1337	862	889
80	817	2317	1428	1467
100	1236	2804	2068	2054
120	1915	3107	2696	2636
140	2326	3394	2984	2947
160	2576	3606	3170	3150
190	3024	3858	3448	3448
210	3291	4068	3652	3661
220	3385	4234	3761	3773
240	3536	4618	3994	4016
260	3693	4933	4237	4259
280	3873	5223	4480	4500
300	4070	5480	4724	4740
320	4277	5741	4971	4982
340	4491	5972	5217	5223
360	4712	6209	5469	5466
380	4956	6425	5713	5711
400	5229	6630	5962	5955
420	5490	6832	6214	6200
440	5797	7025	6459	6445
460	6140	7199	6690	6688
480	6526	7410	6926	6941
500	6727	8283	7291	7342
515	6909	8734	7580	7643
