depth	min	max	median	mean
715	-3	3	0	0
725	2	404	82	117
735	22	654	192	233
745	40	830	313	347
755	114	919	467	478
765	181	1052	596	600
775	231	1164	717	712
785	352	1224	842	826
795	504	1302	962	943
805	610	1390	1086	1061
815	857	1428	1205	1188
825	1125	1485	1317	1315
835	1315	1661	1428	1445
845	1360	1910	1562	1581
855	1414	2156	1687	1715
865	1450	2345	1825	1845
875	1544	2466	1973	1978
885	1650	2598	2105	2115
901	1814	2741	2350	2329
905	1849	2763	2406	2379
915	2045	2835	2538	2510
925	2185	2918	2691	2648
935	2587	2960	2776	2776
945	2775	3136	2893	2909
951	2785	3406	2957	2992
953	2787	3508	2976	3019
955	2790	3602	2995	3047
957	2810	3621	3022	3074
959	2822	3642	3055	3100
961	2831	3661	3087	3127
963	2838	3690	3116	3154
965	2844	3721	3142	3180
967	2851	3757	3168	3207
969	2857	3814	3194	3234
971	2878	3856	3220	3262
973	2906	3872	3251	3292
975	2921	3888	3286	3322
977	2933	3912	3320	3352
979	2941	3943	3359	3382
981	2950	3977	3390	3412
983	2955	4027	3420	3442
985	2963	4094	3447	3472
987	3004	4109	3478	3500
989	3031	4123	3505	3528
991	3050	4150	3539	3556
993	3069	4169	3570	3584
995	3084	4195	3602	3612
997	3096	4223	3632	3639
1003	3181	4299	3725	3728
1005	3212	4314	3759	3759
1007	3232	4329	3791	3790
1009	3253	4351	3824	3820
1011	3268	4374	3860	3851
1013	3285	4411	3895	3882
1015	3297	4455	3927	3913
1017	3352	4467	3955	3943
1019	3397	4479	3985	3973
1021	3431	4495	4019	4002
1023	3467	4511	4048	4032
1025	3484	4531	4082	4062
1027	3499	4556	4114	4092
1029	3520	4588	4146	4121
1031	3562	4609	4176	4150
1033	3609	4616	4204	4179
1035	3643	4627	4233	4208
1037	3684	4641	4263	4236
1039	3717	4658	4294	4265
1041	3741	4678	4326	4293
1043	3762	4704	4359	4322
1045	3786	4739	4393	4351
1047	3881	4745	4412	4382
1049	3977	4751	4433	4413
1051	4075	4757	4453	4445
1053	4166	4764	4475	4476
1055	4248	4771	4502	4508
1057	4319	4781	4528	4539
1059	4388	4793	4553	4571
1061	4428	4826	4588	4605
1063	4443	4880	4628	4643
1065	4454	4946	4667	4680
1067	4464	5036	4704	4717
1069	4471	5136	4738	4755
1071	4475	5237	4770	4792
1073	4479	5353	4802	4830
1075	4484	5465	4830	4867
1077	4528	5490	4874	4908
1079	4552	5513	4918	4949
1081	4568	5553	4966	4989
1082	4576	5566	4990	5010
1083	4581	5582	5012	5030
1084	4588	5603	5035	5050
1085	4597	5626	5055	5071
1086	4601	5649	5076	5091
1087	4604	5678	5097	5111
1088	4610	5713	5116	5132
1089	4612	5749	5136	5152
1090	4616	5793	5154	5172
1091	4655	5799	5176	5192
1092	4683	5806	5197	5212
1093	4707	5813	5219	5232
1094	4726	5821	5242	5252
1095	4739	5830	5265	5272
1096	4755	5840	5287	5292
1097	4762	5849	5313	5312
1098	4773	5858	5337	5332
1101	4800	5891	5406	5392
1103	4816	5927	5451	5433
1105	4828	5985	5492	5473
1107	4909	5995	5527	5511
1109	4976	6006	5564	5549
1111	5041	6017	5604	5587
1113	5092	6032	5650	5625
1115	5135	6046	5690	5663
1117	5171	6064	5736	5701
1119	5204	6095	5777	5739
1121	5286	6125	5815	5781
1123	5422	6135	5850	5827
1125	5553	6146	5885	5873
1127	5665	6155	5918	5920
1129	5739	6173	5953	5966
1131	5784	6226	5997	6012
1133	5807	6316	6046	6058
1135	5821	6440	6091	6105
1137	5881	6491	6151	6163
1139	5916	6570	6213	6221
1141	5938	6672	6268	6279
1143	5956	6810	6322	6337
1145	5968	6967	6368	6396
1147	5980	7121	6415	6454
1149	5989	7285	6463	6512
1151	6035	7372	6512	6569
1153	6103	7391	6575	6624
1155	6138	7402	6642	6679
1157	6158	7429	6711	6734
1159	6174	7452	6779	6790
1161	6191	7483	6847	6845
1163	6208	7530	6909	6900
1165	6223	7604	6968	6955
1167	6349	7614	7024	7015
1169	6436	7628	7084	7076
1171	6508	7641	7150	7136
1173	6545	7657	7220	7196
1175	6568	7674	7295	7256
1177	6589	7700	7375	7316
1179	6605	7739	7447	7376
1181	6728	7772	7501	7436
1183	6944	7782	7543	7496
1185	7152	7798	7584	7556
1187	7358	7813	7625	7615
1189	7527	7845	7672	7675
1191	7598	7918	7728	7735
1193	7617	8065	7779	7794
1195	7629	8261	7821	7854
1197	7665	8302	7874	7903
1203	7714	8512	8025	8049
1205	7725	8624	8069	8098
1207	7734	8738	8109	8147
1209	7740	8864	8151	8195
1211	7764	8937	8197	8243
1213	7796	8955	8247	8289
1215	7817	8983	8308	8336
1217	7840	9014	8367	8382
1219	7855	9047	8425	8428
1221	7869	9096	8475	8475
1223	7885	9158	8523	8521
1225	7897	9234	8569	8567
1227	7998	9242	8620	8619
1229	8070	9260	8671	8671
1231	8120	9275	8732	8723
1233	8168	9294	8794	8775
1235	8200	9311	8860	8827
1237	8226	9339	8924	8879
1239	8244	9382	8981	8931
1241	8325	9419	9026	8982
1243	8453	9425	9064	9031
1245	8576	9433	9106	9080
1247	8701	9440	9150	9129
1249	8814	9447	9194	9178
1255	9001	9507	9348	9325
1265	9249	9802	9517	9520
1275	9363	10169	9679	9703
1285	9430	10412	9854	9876
1295	9562	10486	10046	10037
1315	9843	10723	10408	10368
1325	10251	10802	10540	10533
1335	10386	10987	10665	10667
1345	10441	11250	10736	10768
1355	10507	11420	10838	10872
1365	10575	11601	10936	10977
1385	10679	11954	11132	11182
1415	10851	12419	11430	11484
