depth	min	max	median	mean
1	0	90	17	25
12	61	679	287	307
20	157	944	506	518
32	412	1213	821	819
40	578	1367	1024	1012
50	933	1514	1304	1282
60	1367	1718	1508	1514
70	1471	2028	1693	1710
80	1598	2261	1890	1900
90	1753	2434	2088	2091
100	1965	2588	2288	2285
110	2202	2698	2462	2469
120	2407	2979	2676	2678
130	2558	3219	2889	2889
140	2741	3391	3095	3089
152	3093	3559	3344	3339
160	3303	3746	3512	3519
170	3458	4053	3707	3721
180	3615	4253	3921	3924
190	3823	4433	4133	4130
200	4079	4638	4350	4350
208	4259	4930	4557	4565
216	4438	5166	4769	4779
224	4718	5431	5018	5049
228	4888	5730	5291	5294
232	5089	6030	5557	5559
236	5348	6183	5836	5816
240	5782	6275	6067	6064
242	5940	6315	6141	6140
244	5977	6477	6219	6216
252	6146	6801	6443	6452
254	6178	6859	6509	6511
256	6239	6922	6567	6570
258	6290	6959	6629	6627
260	6321	7032	6689	6685
262	6441	7054	6747	6746
264	6511	7091	6807	6807
266	6610	7133	6867	6870
268	6708	7163	6932	6935
272	6813	7289	7057	7057
274	6844	7335	7125	7114
282	7154	7477	7337	7331
284	7197	7509	7380	7373
285	7208	7541	7400	7394
286	7240	7546	7413	7409
288	7295	7564	7442	7440
292	7351	7617	7496	7494
294	7372	7644	7520	7518
295	7379	7666	7531	7530
305	7511	7822	7645	7651
315	7604	8147	7805	7823
325	7908	8780	8335	8332
335	8334	9042	8627	8652
344	8498	9438	8890	8914
352	8669	9780	9137	9143
356	8865	9918	9321	9324
358	9032	9981	9516	9514
360	9127	10149	9722	9703
362	9504	10188	9876	9868
364	9654	10306	10055	10032
366	9817	10453	10180	10165
368	10040	10489	10265	10266
370	10184	10573	10362	10367
372	10260	10612	10426	10428
374	10295	10693	10492	10489
376	10335	10774	10553	10551
378	10367	10853	10615	10613
382	10433	11026	10712	10720
384	10460	11075	10761	10765
386	10502	11123	10814	10810
388	10542	11149	10875	10855
