depth	min	max	median	mean
0	-51	-44	-48	-48
8	-18	-7	-15	-15
16	-5	9	0	0
24	4	20	10	10
32	17	33	24	24
40	31	53	41	41
48	46	85	63	64
56	68	109	87	87
64	86	163	116	118
72	105	211	147	150
80	125	258	179	182
88	149	296	211	214
96	175	335	242	245
104	200	374	274	278
112	229	412	306	309
120	256	451	337	341
128	287	492	368	373
136	314	529	398	403
140	320	539	405	410
140.00002	327	543	409	414
144	348	573	433	438
152	389	643	478	484
160	431	707	521	528
168	481	777	564	572
176	531	844	607	618
184	601	921	682	699
192	681	1016	807	818
200	765	1126	938	940
208	893	1209	1065	1061
216	1049	1283	1187	1184
224	1190	1475	1317	1320
232	1289	1687	1460	1468
240	1393	1866	1610	1615
248	1524	2003	1761	1761
256	1664	2141	1911	1910
264	1833	2248	2064	2058
272	2021	2356	2213	2208
280	2122	2661	2361	2367
288	2237	2886	2518	2528
296	2346	3116	2674	2690
304	2464	3329	2835	2851
