depth	min	max	median	mean
22	50	876	336	369
32	122	1142	502	537
52	351	1534	852	875
72	606	1901	1200	1216
90	848	2222	1517	1524
122	1375	2669	2070	2058
132	1553	2776	2250	2226
142	1774	2890	2418	2395
152	1977	3031	2587	2564
162	2213	3135	2755	2733
172	2564	3233	2901	2901
182	2897	3401	3122	3131
192	3041	4441	3550	3607
206	3426	5143	4369	4335
215	4055	5475	4843	4820
235	5322	5847	5640	5625
245	5460	6133	5820	5819
255	5547	6350	5934	5944
265	5673	6472	6061	6068
275	5783	6626	6187	6192
285	5878	6776	6313	6317
296	6034	6888	6452	6453
306	6175	6997	6574	6577
316	6294	7120	6702	6701
326	6482	7203	6817	6825
340	6679	7456	7026	7039
350	6788	7719	7187	7207
390	7238	8592	7862	7875
410	7547	8918	8219	8221
450	8193	9532	8911	8896
470	8623	9770	9248	9233
490	9119	9990	9571	9568
500	9416	10096	9725	9739
510	9610	10270	9895	9911
530	9838	10723	10228	10239
550	10084	11068	10566	10568
590	10883	11655	11211	11240
610	11251	12230	11640	11669
630	11495	13003	12120	12150
650	11878	13476	12617	12632
660	12032	13741	12867	12871
680	12558	14146	13366	13358
690	12754	14394	13610	13598
710	13475	14719	14071	14082
720	13830	14892	14286	14324
730	13951	15212	14489	14526
750	14192	15976	14887	14931
775	14545	16662	15399	15451
780	14602	16823	15496	15554
790	14753	17086	15697	15757
