labid,age,error,depth,cc
Core top,-60,20,0,0
Pre-EuroAmerican settlement horizon,43,50,16.5,0
GX-32095,680,40,28.5,1
GX-31677,820,40,41.5,1
GX-31814,1070,50,55.5,1
GX-32096,1730,35,58.5,1
GX-31815,2060,50,63.5,1
GX-31607,2630,50,77.5,1
GX-32097,1680,35,82.5,1
GX-31812,3790,50,94.5,1
UGAMS 01035,4237,53,102.5,1
GX-31678,4510,50,103.5,1
UGAMS 2882,4330,40,106.5,1
UGAMS 2885,4370,40,110.5,1
UGAMS 01036,4424,52,116.5,1
UGAMS 2884,4460,40,118.5,1
GX-02102,4650,40,121.5,1
UGAMS 2883,4560,50,122.5,1
GX-02103,4640,40,126.5,1
UGAMS 2886,5540,40,127.5,1
GX-02104,4820,40,131.5,1
GX-02105,5150,40,139.5,1
GX-31679,5810,40,175.5,1
GX-31813,6090,60,219.5,1
