depth	min	max	median	mean
1	-30	6	-17	-16
5	-28	146	36	42
10	-26	323	102	114
15	-23	499	168	186
19	41	534	267	273
21	55	569	318	316
25	81	678	413	404
30	110	919	513	512
35	320	1183	777	768
38	373	1425	935	922
40	402	1608	1039	1024
45	449	2103	1294	1280
48	770	2136	1434	1433
50	960	2161	1531	1534
55	1338	2259	1785	1789
60	1536	2535	2043	2043
65	1681	2669	2179	2178
70	1762	2891	2310	2313
75	1808	3184	2429	2449
80	2014	3263	2562	2583
85	2131	3388	2705	2716
90	2201	3599	2839	2850
95	2426	3829	3063	3075
97	2467	4015	3146	3166
100	2517	4362	3256	3301
