depth	min	max	median	mean
338	-56	-50	-53	-53
348	-27	-20	-22	-22
358	-1	12	9	9
368	33	52	47	46
378	103	177	142	142
388	161	306	238	238
398	219	424	327	327
408	267	438	356	356
418	299	456	392	386
428	325	490	430	419
438	374	587	488	486
445.5	394	685	531	536
455.5	416	824	592	602
465.5	511	864	661	670
475.5	589	891	736	738
485.5	638	962	809	805
495.5	791	1037	904	893
505.5	835	1155	982	984
515.5	862	1345	1065	1075
525.5	997	1406	1164	1173
535.5	1102	1459	1271	1272
542.5	1153	1527	1342	1341
552.5	1310	1638	1454	1454
562.5	1446	1730	1579	1579
572.5	1492	1917	1705	1704
582.5	1591	2030	1804	1805
592.5	1723	2059	1886	1887
602.5	1818	2102	1971	1969
612.5	1886	2186	2045	2044
622.5	1932	2326	2106	2113
632.5	1960	2489	2163	2182
642.5	2005	2592	2224	2248
652.5	2045	2650	2297	2311
662.5	2068	2727	2362	2375
672.5	2120	2796	2428	2438
682.5	2167	2844	2498	2501
692.5	2205	2921	2563	2563
702.5	2265	2978	2628	2624
712.5	2325	3016	2695	2684
722.5	2364	3072	2758	2744
732.5	2441	3117	2818	2805
742.5	2519	3147	2877	2866
752.5	2565	3191	2941	2926
762.5	2677	3228	3001	2990
772.5	2820	3253	3062	3055
782.5	2916	3284	3128	3121
792.5	2984	3326	3181	3177
802.5	3044	3370	3229	3224
812.5	3076	3449	3271	3271
832.5	3151	3544	3358	3355
842.5	3175	3594	3398	3394
852.5	3225	3637	3439	3437
862.5	3282	3664	3485	3482
872.5	3313	3711	3531	3527
882.5	3375	3750	3575	3571
892.5	3447	3772	3619	3616
902.5	3484	3808	3666	3661
912.5	3552	3840	3708	3706
922.5	3625	3868	3751	3750
932.5	3659	3932	3794	3795
942.5	3689	3993	3834	3835
952.5	3722	4037	3871	3873
962.5	3741	4102	3906	3910
972.5	3777	4150	3945	3949
982.5	3812	4183	3987	3989
992.5	3833	4230	4028	4029
1002.5	3876	4276	4064	4067
1012.5	3916	4301	4101	4103
1022.5	3948	4336	4136	4140
1032.5	3995	4366	4172	4177
1042.5	4059	4387	4208	4215
1052.5	4096	4409	4241	4254
1062.5	4138	4497	4303	4312
1072.5	4178	4631	4381	4387
1082.5	4208	4798	4447	4462
1092.5	4263	4899	4520	4538
1102.5	4319	4950	4603	4615
1112.5	4359	5035	4687	4692
1122.5	4441	5106	4767	4770
1132.5	4516	5147	4851	4849
1142.5	4569	5206	4938	4928
1152.5	4743	5260	5030	5024
1161.5	4885	5310	5142	5124
1172.5	4959	5545	5255	5246
1182.5	5066	5807	5404	5406
1192.5	5148	6113	5591	5605
1202.5	5199	6531	5764	5805
1212.5	5392	6772	5971	6017
1222.5	5579	6844	6241	6238
1232.5	5700	6978	6516	6460
1242.5	6003	7119	6714	6667
1252.5	6477	7163	6883	6863
1255.5	6615	7179	6934	6921
1265.5	6917	7283	7109	7117
1275.5	7008	7420	7215	7216
1285.5	7049	7566	7296	7298
1295.5	7078	7740	7364	7380
1305.5	7148	7805	7441	7455
1315.5	7199	7868	7527	7529
1325.5	7235	7961	7606	7603
1335.5	7336	8005	7687	7681
1345.5	7420	8046	7773	7760
1355.5	7470	8121	7860	7839
1365.5	7637	8155	7927	7917
1372.5	7756	8181	7975	7972
1375.5	7798	8197	7996	7996
1385.5	7921	8273	8079	8074
1395.5	7996	8394	8185	8185
1405.5	8035	8621	8291	8303
1414.5	8058	8869	8388	8408
1415.5	8061	8894	8399	8420
1425.5	8161	8982	8522	8534
1435.5	8223	9065	8655	8648
1445.5	8270	9197	8776	8762
1455.5	8459	9249	8893	8881
1465.5	8562	9287	9012	9001
1475.5	8638	9363	9135	9121
1485.5	8688	9411	9203	9189
1495.5	8743	9478	9268	9248
1505.5	8784	9603	9330	9308
1515.5	8822	9666	9379	9355
1525.5	8856	9729	9426	9400
1535.5	8889	9822	9470	9445
1545.5	8917	9873	9515	9485
1555.5	8938	9918	9558	9523
