depth	min	max	median	mean
2	4	126	38	45
7	13	443	134	159
12	22	760	231	273
17	67	985	337	387
22	113	1106	463	501
27	146	1289	579	616
32	212	1452	696	731
37	294	1533	820	846
42	348	1664	945	962
47	435	1801	1063	1076
52	543	1881	1183	1189
57	612	1983	1303	1302
62	716	2100	1417	1415
67	850	2171	1539	1530
72	942	2264	1665	1645
77	1066	2369	1776	1759
82	1211	2426	1889	1870
87	1321	2506	2005	1981
92	1468	2585	2112	2092
97	1690	2632	2220	2204
102	1836	2691	2331	2315
107	1950	2779	2429	2415
112	2045	2860	2511	2497
117	2112	2980	2589	2580
122	2185	3094	2664	2659
127	2269	3154	2742	2734
132	2329	3243	2817	2809
137	2410	3326	2890	2885
142	2498	3376	2965	2959
147	2566	3446	3044	3034
152	2650	3522	3117	3109
157	2759	3570	3192	3185
162	2834	3637	3270	3260
167	2930	3706	3344	3336
172	3062	3750	3412	3412
177	3142	3809	3488	3487
182	3208	3886	3562	3560
187	3280	3954	3629	3627
192	3328	4064	3693	3695
202	3460	4223	3830	3832
207	3509	4305	3901	3901
212	3579	4389	3967	3969
217	3655	4443	4035	4036
222	3709	4514	4100	4104
227	3789	4589	4165	4171
232	3901	4637	4229	4239
237	3979	4702	4296	4306
242	4053	4790	4374	4386
