depth	min	max	median	mean
0	-51	-45	-48	-48
75	95	768	399	403
150	472	1378	637	741
160	501	1548	703	819
170	625	1642	998	1040
180	692	1848	1256	1261
190	961	1926	1473	1472
195	1022	1989	1605	1577
200	1079	2080	1726	1683
205	1638	2183	1907	1903
206	1735	2208	1944	1947
209	1906	2328	2072	2080
210	1925	2378	2114	2124
220	2017	3462	2503	2565
240	3605	3913	3763	3766
243	3658	3925	3793	3796
310	4022	4414	4176	4188
350	4219	4779	4481	4486
420	4869	5354	4998	5027
450	4950	6094	5197	5300
480	5036	6826	5388	5569
525	5203	7731	5655	5977
565	5348	8517	5876	6341
580	5404	8849	5954	6479
620	5578	9580	6150	6842
650	5721	10164	6292	7115
750	6215	12013	6788	8024
