depth	min	max	median	mean
0	-119	2656	175	498
5	98	2779	719	918
10	194	2931	1232	1338
15	690	3036	1702	1758
20	952	3226	2220	2178
25	1549	3344	2553	2526
30	1857	3654	2915	2873
35	2058	3871	3110	3071
40	2200	4218	3291	3269
45	2403	4391	3488	3463
50	2551	4669	3672	3657
55	2760	4825	3873	3853
60	2907	5066	4071	4049
65	3117	5202	4269	4243
70	3254	5421	4469	4436
75	3427	5553	4633	4597
80	3556	5746	4797	4758
85	3694	5865	4936	4895
90	3785	6037	5070	5032
95	3902	6166	5189	5149
100	3993	6331	5304	5267
105	4073	6450	5406	5368
107.5	4112	6526	5456	5419
