depth	min	max	median	mean
1	-57	17	-31	-28
4	-46	230	39	52
7	-38	442	110	132
10	-31	655	181	212
14	-21	940	275	319
17	-15	1152	345	399
20	-8	1365	415	479
23	73	1401	504	560
26	122	1458	597	641
29	159	1503	691	722
32	188	1547	782	804
35	220	1611	870	885
39	256	1740	986	993
43	396	1809	1094	1102
45	467	1831	1154	1156
48	552	1859	1247	1238
51	614	1894	1337	1320
54	674	1936	1441	1401
57	719	2004	1533	1483
60	769	2098	1620	1564
63	959	2114	1687	1643
66	1153	2133	1755	1721
69	1344	2150	1824	1799
72	1523	2172	1891	1878
75	1696	2199	1959	1956
78	1836	2234	2030	2035
81	1919	2276	2094	2101
84	1998	2297	2132	2143
88	2031	2370	2189	2199
91	2050	2446	2236	2241
94	2066	2529	2280	2283
97	2078	2627	2316	2325
101	2106	2735	2364	2379
104	2143	2751	2401	2415
107	2171	2776	2441	2451
110	2196	2808	2482	2488
113	2214	2844	2522	2524
116	2230	2893	2558	2560
119	2241	2951	2593	2597
122	2292	2984	2629	2634
125	2344	3003	2668	2671
128	2384	3023	2710	2709
131	2410	3041	2752	2746
134	2431	3068	2794	2783
137	2448	3107	2835	2821
140	2470	3156	2874	2858
143	2553	3165	2906	2893
146	2633	3174	2938	2929
151	2740	3197	2993	2987
153	2773	3211	3018	3011
155	2798	3228	3043	3034
157	2819	3245	3069	3058
159	2836	3268	3095	3081
160	2844	3281	3107	3093
162	2885	3286	3122	3110
164	2926	3292	3137	3128
166	2962	3299	3153	3145
168	2994	3306	3168	3162
170	3028	3313	3184	3179
171	3040	3317	3192	3188
172	3051	3322	3201	3196
174	3077	3336	3218	3214
177	3099	3359	3243	3239
179	3110	3382	3259	3257
180	3115	3396	3266	3265
181	3131	3400	3273	3272
183	3156	3405	3288	3286
185	3181	3412	3302	3300
187	3204	3419	3317	3314
189	3223	3427	3331	3328
190	3231	3432	3338	3335
191	3239	3436	3345	3342
193	3251	3448	3360	3356
199	3272	3524	3400	3398
