depth	min	max	median	mean
12	12	293	173	167
16	38	351	210	206
20	86	416	260	257
24	114	497	311	308
28	136	593	357	359
32	190	656	404	410
36	260	690	456	461
40	309	737	509	511
44	344	804	561	562
48	465	859	624	630
57	588	1108	778	797
65	679	1377	947	969
73	740	1770	1118	1155
81	859	2018	1304	1341
89	938	2312	1494	1528
97	1087	2492	1690	1716
105	1185	2734	1881	1903
113	1369	2889	2074	2089
121	1500	3104	2265	2276
129	1694	3241	2459	2462
137	1860	3424	2651	2649
145	2073	3570	2845	2839
153	2287	3737	3035	3028
169	2736	4041	3407	3399
