depth	min	max	median	mean
0	-78	95	4	5
5	-13	404	135	152
10	13	786	262	300
15	108	892	423	442
20	155	1075	576	584
25	307	1155	729	731
30	386	1290	893	877
35	637	1337	1035	1022
40	766	1449	1194	1168
45	919	1505	1303	1264
50	988	1652	1380	1361
55	1060	1722	1443	1427
60	1111	1838	1500	1494
65	1186	1898	1567	1560
70	1237	1989	1628	1626
75	1310	2048	1696	1693
80	1362	2141	1761	1760
85	1434	2192	1828	1826
90	1489	2272	1894	1891
95	1566	2327	1962	1958
100	1620	2399	2031	2024
105	1706	2445	2097	2090
110	1762	2516	2164	2156
115	1852	2559	2232	2223
120	1910	2630	2300	2290
125	2006	2667	2363	2356
130	2073	2732	2428	2422
135	2193	2773	2489	2487
140	2272	2837	2553	2552
145	2377	2902	2629	2626
150	2428	3009	2700	2701
155	2494	3095	2778	2781
160	2537	3252	2849	2860
165	2604	3329	2931	2940
170	2651	3446	3009	3019
175	2721	3521	3088	3097
180	2769	3627	3167	3175
185	2852	3688	3249	3254
190	2904	3787	3331	3333
195	2989	3845	3408	3410
200	3046	3927	3486	3488
205	3140	3987	3569	3568
210	3199	4076	3654	3648
215	3298	4122	3732	3727
220	3358	4196	3813	3805
225	3469	4249	3893	3885
230	3542	4328	3975	3965
235	3681	4370	4052	4046
240	3765	4444	4136	4126
245	3857	4502	4202	4197
250	3916	4595	4274	4268
255	3971	4669	4336	4329
260	4014	4777	4392	4391
265	4078	4844	4453	4453
275	4186	4998	4570	4576
280	4231	5091	4630	4637
285	4297	5152	4692	4699
290	4340	5233	4754	4761
295	4408	5293	4814	4822
300	4451	5382	4875	4884
305	4526	5433	4935	4945
310	4575	5508	4997	5006
315	4650	5576	5055	5068
320	4701	5675	5115	5131
325	4780	5734	5176	5193
330	4833	5810	5236	5255
335	4915	5868	5292	5317
340	4972	5942	5351	5379
345	5061	6011	5406	5441
350	5121	6087	5465	5503
355	5237	6140	5514	5564
360	5311	6202	5564	5625
365	5408	6340	5739	5778
370	5463	6578	5899	5931
375	5591	6684	6058	6080
380	5668	6863	6215	6229
385	5823	6964	6379	6383
390	5913	7134	6541	6536
395	6101	7213	6700	6687
400	6205	7341	6862	6838
405	6455	7403	7012	6988
410	6586	7515	7171	7138
415	6967	7572	7303	7294
420	7180	7693	7456	7451
425	7317	7903	7615	7614
430	7385	8241	7761	7778
435	7561	8323	7938	7939
440	7647	8491	8111	8100
445	7922	8560	8265	8255
450	8059	8704	8431	8411
453	8100	8788	8486	8471
455	8123	8869	8521	8511
457	8143	8963	8553	8551
460	8173	9119	8599	8612
463	8221	9187	8658	8672
465	8251	9250	8697	8712
