depth	min	max	median	mean
0.5	-34	15	-7	-8
3	-5	288	155	151
6	30	616	351	342
8	53	834	481	469
10	76	1053	611	597
15	134	1599	937	915
20	895	1702	1296	1296
25	1412	1974	1675	1676
29	1523	2509	1965	1980
35	1806	2841	2314	2320
40	1947	3114	2604	2584
45	2038	3509	2876	2848
50	2664	3615	3153	3148
55	3033	3849	3449	3448
60	3208	4372	3730	3747
65	3420	4673	4042	4045
70	3540	5160	4337	4342
75	3623	5768	4611	4639
80	3915	5893	4946	4943
85	4070	6072	5307	5248
90	4192	6380	5650	5553
95	4373	6461	5858	5754
100	4499	6605	6064	5955
