depth	min	max	median	mean
5	713	1573	938	961
10	1467	2229	1867	1866
16	2021	2500	2285	2278
20	2128	2909	2572	2553
25	2609	3005	2782	2787
30	2813	3311	3010	3022
35	2914	3595	3197	3210
45	3096	4209	3568	3592
50	3166	4520	3763	3785
60	3438	4842	4188	4173
70	3843	5092	4582	4544
80	4381	5309	4958	4928
90	5020	5687	5317	5327
94	5182	5817	5502	5502
101	5371	6207	5814	5808
110	5952	6374	6211	6197
115	6048	6486	6302	6291
118	6073	6616	6346	6348
125	6166	6802	6460	6468
130	6207	6946	6538	6551
140	6353	7139	6711	6722
150	6487	7301	6884	6889
160	6636	7465	7060	7057
170	6804	7615	7238	7228
177	6944	7700	7357	7346
180	6982	7752	7407	7396
190	7185	7874	7573	7564
200	7473	7988	7735	7733
210	7683	8217	7909	7919
