depth	min	max	median	mean
1	-22	63	11	13
2	-17	152	48	53
3	-13	241	84	92
4	-9	330	121	132
5	-4	418	158	171
6	0	507	194	211
7	4	596	231	250
8	9	685	268	289
9	13	773	305	329
10	17	862	342	368
11	78	879	383	408
12	125	893	425	448
13	161	912	469	488
14	192	929	513	528
15	220	954	560	568
16	245	976	606	609
17	266	1007	653	649
18	286	1041	698	689
19	305	1084	742	729
20	325	1140	783	769
21	413	1153	818	807
22	494	1167	854	846
23	572	1184	889	885
24	639	1204	926	923
25	693	1224	962	962
26	733	1251	1000	1000
27	770	1288	1040	1039
28	798	1338	1078	1078
29	823	1401	1116	1116
30	842	1472	1152	1155
31	878	1488	1179	1182
32	910	1509	1207	1208
33	936	1531	1235	1235
34	958	1555	1264	1262
35	977	1583	1291	1288
36	994	1616	1318	1315
37	1008	1658	1344	1341
38	1021	1704	1370	1368
39	1032	1750	1396	1395
40	1043	1798	1421	1421
41	1090	1811	1447	1448
42	1137	1824	1472	1474
43	1177	1837	1497	1500
44	1214	1853	1524	1527
45	1246	1869	1552	1553
46	1272	1889	1580	1580
47	1296	1913	1607	1606
48	1316	1942	1635	1632
49	1334	1977	1662	1659
50	1350	2016	1689	1685
51	1408	2031	1715	1714
52	1460	2044	1742	1743
53	1504	2060	1771	1772
54	1542	2080	1799	1801
55	1569	2103	1829	1830
56	1591	2130	1859	1858
57	1610	2163	1889	1887
58	1627	2205	1917	1916
59	1641	2255	1944	1945
60	1654	2311	1971	1974
61	1697	2324	1998	2001
62	1735	2338	2025	2028
63	1768	2352	2053	2054
64	1793	2372	2080	2081
65	1815	2393	2109	2108
66	1833	2418	2137	2135
67	1850	2450	2165	2161
68	1867	2487	2194	2188
69	1883	2529	2221	2215
70	1898	2574	2249	2242
71	1946	2585	2272	2267
72	1988	2598	2296	2292
73	2026	2612	2320	2318
74	2061	2627	2345	2343
