depth	min	max	median	mean
0	-3	3	0	0
5	3	191	69	78
10	5	381	139	155
20	11	763	277	310
25	98	785	362	388
30	153	812	457	466
40	227	938	643	622
50	731	1433	1006	1029
60	778	2520	1342	1436
70	1067	2646	1866	1861
75	1126	2759	2139	2074
80	1175	3002	2372	2286
90	2212	3086	2700	2680
100	2602	3552	3057	3073
110	2785	3826	3271	3282
120	2843	4360	3446	3491
125	2954	4417	3565	3598
130	3011	4477	3694	3705
140	3086	4754	3918	3918
150	3329	4828	4143	4129
160	3441	5003	4382	4339
170	3854	5051	4582	4549
175	3962	5095	4700	4654
180	4036	5184	4818	4759
190	4321	5226	4920	4887
195	4425	5263	4985	4952
200	4476	5334	5051	5016
205	4507	5347	5075	5041
210	4539	5366	5101	5067
220	4597	5435	5147	5118
225	4647	5449	5171	5143
230	4687	5468	5197	5168
240	4750	5524	5245	5218
245	4796	5535	5268	5243
250	4844	5553	5291	5268
255	4875	5572	5314	5293
260	4900	5599	5337	5318
270	4986	5629	5380	5367
275	5017	5650	5405	5392
280	5050	5683	5430	5417
290	5078	5758	5478	5467
295	5090	5831	5500	5493
300	5102	5899	5521	5518
