depth	min	max	median	mean
0.5	-56	-48	-53	-53
19.5	-40	76	-3	3
24.5	-30	91	13	18
30	-24	118	30	34
34.5	-2	142	55	58
34.50001	-2	142	55	58
39.5	9	172	84	85
42.5	109	258	183	183
45.5	201	391	297	296
49.5	294	602	448	447
52.5	418	646	524	525
56.5	560	693	612	620
59.5	586	792	693	691
62.5	637	822	729	728
66.5	690	848	768	769
69.5	715	883	798	799
72.5	746	911	820	821
76.5	775	968	845	849
79.5	788	1022	865	871
82.5	867	1059	930	935
85.5	928	1095	1000	1007
88.5	962	1187	1074	1080
91.5	1006	1247	1126	1131
97.5	1092	1270	1185	1188
100.5	1117	1286	1214	1214
103.5	1153	1291	1230	1229
106.5	1180	1296	1246	1243
109.5	1195	1315	1261	1258
112.5	1231	1378	1306	1306
115.5	1255	1489	1357	1362
121.5	1333	1691	1471	1482
127.5	1499	1776	1629	1630
133.5	1600	1913	1763	1762
136.5	1631	2009	1821	1822
143.5	1737	2187	1955	1959
155.5	2040	2325	2181	2185
