depth	min	max	median	mean
1	31	74	57	56
9	283	667	513	504
27.5	1005	1589	1352	1344
47.5	1574	2216	1865	1874
60	1802	2449	2128	2133
80	2066	3020	2552	2544
100	2732	3363	2983	3002
105	2916	3482	3164	3176
115	3122	3957	3518	3523
120	3191	4254	3687	3697
125	3605	4362	3949	3962
130	3950	4529	4221	4227
135	4178	4797	4488	4493
140	4318	5185	4743	4758
145	4912	5567	5240	5251
150	5469	6010	5742	5743
155	5931	6533	6238	6236
160	6329	7112	6730	6728
165	6583	7225	6905	6903
170	6732	7392	7085	7077
175	6813	7630	7265	7251
180	6876	7929	7439	7426
185	7178	7976	7574	7573
190	7396	8057	7719	7720
195	7521	8190	7870	7868
205	7720	8516	8114	8116
210	7805	8604	8222	8218
215	7871	8738	8326	8319
220	7910	8912	8428	8420
225	8111	8953	8525	8526
230	8280	9006	8628	8632
235	8405	9089	8739	8738
240	8483	9220	8846	8845
245	8698	9292	8990	8990
250	8848	9408	9138	9135
255	8946	9589	9287	9280
260	9019	9837	9429	9426
265	9279	9947	9618	9614
270	9495	10074	9807	9802
275	9651	10245	10011	9989
280	9755	10472	10208	10177
285	9869	10534	10288	10261
290	9954	10645	10362	10344
295	10006	10799	10429	10428
300	10046	10993	10496	10511
305	10188	11039	10587	10599
310	10287	11091	10677	10686
315	10346	11174	10762	10773
317	10363	11228	10797	10808
318	10369	11259	10815	10826
320	10388	11325	10851	10861
325	10626	11415	11012	11017
330	10808	11559	11171	11173
335	10959	11743	11320	11329
340	11073	11976	11470	11485
345	11220	12069	11599	11612
350	11312	12208	11735	11739
355	11366	12400	11860	11867
360	11410	12655	11977	11994
365	11531	12719	12097	12112
370	11612	12811	12222	12230
375	11674	12985	12337	12348
